Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllabl,TargetSyl,PositionSource,Position Target,Process,TargetOrthography,Translation,Reference,Notes
Angolar,ˈkabɐ,ˈkabɾɐ,ˈka.bɐ,ˈka.bɾɐ,bɐ,bɾɐ,2,2,,cabra,goat,Bandeira2017[366-412],
Angolar,ma:ˈku,mɐˈkaku,ma:.ˈku,mɐ.ˈka.ku,ma:,mɐ,1,1,,macaco,monkey,Bandeira2017[366-412],
Angolar,ma:ˈku,mɐˈkaku,ma:.ˈku,mɐ.ˈka.ku,-,ˈka,-,2,,macaco,monkey,Bandeira2017[366-412],
Angolar,ma:ˈku,mɐˈkaku,ma:.ˈku,mɐ.ˈka.ku,ˈku,ku,2,3,,macaco,monkey,Bandeira2017[366-412],
Angolar,ŋgɐ̃ˈɲa,gɐˈliɲɐ,ŋ.gɐ̃.ˈɲa,gɐ.ˈli.ɲɐ,ŋ,gɐ,1,-,,galinha,chicken,Bandeira2017[366-412],
Angolar,ŋgɐ̃ˈɲa,gɐˈliɲɐ,ŋ.gɐ̃.ˈɲa,gɐ.ˈli.ɲɐ,gɐ̃,gɐ,2,1,,galinha,chicken,Bandeira2017[366-412],
Angolar,ŋgɐ̃ˈɲa,gɐˈliɲɐ,ŋ.gɐ̃.ˈɲa,gɐ.ˈli.ɲɐ,-,ˈli,-,2,,galinha,chicken,Bandeira2017[366-412],
Angolar,ŋgɐ̃ˈɲa,gɐˈliɲɐ,ŋ.gɐ̃.ˈɲa,gɐ.ˈli.ɲɐ,ˈɲa,ɲɐ,3,3,,galinha,chicken,Bandeira2017[366-412],
Angolar,ŋˈgaθɐ,ˈgaɾsɐ,ŋ.ˈga.θɐ,ˈgaɾ.sɐ,ŋ,ˈgaɾ,1,1,,garça,heron,Bandeira2017[366-412],
Angolar,ŋˈgaθɐ,ˈgaɾsɐ,ŋ.ˈga.θɐ,ˈgaɾ.sɐ,ˈga,sɐ,2,2,,garça,heron,Bandeira2017[366-412],
Angolar,ŋˈgaθɐ,ˈgaɾsɐ,ŋ.ˈga.θɐ,ˈgaɾ.sɐ,θɐ,-,3,-,,garça,heron,Bandeira2017[366-412],
Angolar,ˈgɛlɐ,ˈgɛʀɐ,ˈgɛ.lɐ,ˈgɛ.ʀɐ,ˈgɛ,ˈgɛ,1,1,,guerra,war,Bandeira2017[366-412],
Angolar,ˈgɛlɐ,ˈgɛʀɐ,ˈgɛ.lɐ,ˈgɛ.ʀɐ,lɐ,ʀɐ,2,2,,guerra,war,Bandeira2017[366-412],
Angolar,maˈdadi,malˈdadɨ,ma.ˈda.di,mal.ˈda.dɨ,ma,mal,1,1,,maldade,evil,Bandeira2017[366-412],
Angolar,maˈdadi,malˈdadɨ,ma.ˈda.di,mal.ˈda.dɨ,ˈda,ˈda,2,2,,maldade,evil,Bandeira2017[366-412],
Angolar,maˈdadi,malˈdadɨ,ma.ˈda.di,mal.ˈda.dɨ,di,dɨ,3,3,,maldade,evil,Bandeira2017[366-412],
Angolar,ˈθedi,ˈsedɨ,ˈθe.di,ˈse.dɨ,ˈθe,ˈse,1,1,,sede,thirst,Bandeira2017[366-412],
Angolar,ˈθedi,ˈsedɨ,ˈθe.di,ˈse.dɨ,di,dɨ,2,2,,sede,thirst,Bandeira2017[366-412],
Angolar,ˈsimi,siˈumɨ,ˈsi.mi,si.ˈu.mɨ,ˈsi,siˈ,1,1,,ciúmes,jealousy,Bandeira2017[366-412],
Angolar,ˈsimi,siˈumɨ,ˈsi.mi,si.ˈu.mɨ,-,ˈu,-,2,,ciúmes,jealousy,Bandeira2017[366-412],
Angolar,ˈsimi,siˈumɨ,ˈsi.mi,si.ˈu.mɨ,mi,mɨ,2,3,,ciúmes,jealousy,Bandeira2017[366-412],
Angolar,vɛˈgɔɲɐ,vɨɾˈgoɲɐ,vɛ.ˈgɔ.ɲɐ,vɨɾ.ˈgo.ɲɐ,vɛ,vɨɾ,1,1,,vergonha,shame,Bandeira2017[366-412],
Angolar,vɛˈgɔɲɐ,vɨɾˈgoɲɐ,vɛ.ˈgɔ.ɲɐ,vɨɾ.ˈgo.ɲɐ,ˈgɔ,ˈgo,2,2,,vergonha,shame,Bandeira2017[366-412],
Angolar,vɛˈgɔɲɐ,vɨɾˈgoɲɐ,vɛ.ˈgɔ.ɲɐ,vɨɾ.ˈgo.ɲɐ,ɲɐ,ɲɐ,3,3,,vergonha,shame,Bandeira2017[366-412],
Angolar,ˈkolo,ˈkoɾ,ˈko.lo,ˈkoɾ,ˈko,ˈkoɾ,1,1,,cor,color,Bandeira2017[366-412],
Angolar,ˈkolo,ˈkoɾ,ˈko.lo,ˈkoɾ,lo,-,2,-,,cor,color,Bandeira2017[366-412],
Angolar,ˈvedi,ˈveɾdɨ,ˈve.di,ˈveɾ.dɨ,ˈve,ˈveɾ,1,1,,verde,green,Bandeira2017[366-412],
Angolar,ˈvedi,ˈveɾdɨ,ˈve.di,ˈveɾ.dɨ,di,dɨ,2,2,,verde,green,Bandeira2017[366-412],
Angolar,veˈme,vɨɾˈmɐjʎu,ve.ˈme,vɨɾ.ˈmɐj.ʎu,ve,vɨɾ,1,,,vermelho,red,Bandeira2017[366-412],
Angolar,veˈme,vɨɾˈmɐjʎu,ve.ˈme,vɨɾ.ˈmɐj.ʎu,ˈme,ˈmɐj,2,2,,vermelho,red,Bandeira2017[366-412],
Angolar,veˈme,vɨɾˈmɐjʎu,ve.ˈme,vɨɾ.ˈmɐj.ʎu,-,ʎu,-,3,,vermelho,red,Bandeira2017[366-412],
Angolar,ŋgaˈpo,kɐɾɐˈpaw,ŋ.ga.ˈpo,kɐ.ɾɐ.ˈpaw,ŋ,kɐ,1,1,,carapau,scad,Bandeira2017[366-412],
Angolar,ŋgaˈpo,kɐɾɐˈpaw,ŋ.ga.ˈpo,kɐ.ɾɐ.ˈpaw,ga,ɾɐ,2,2,,carapau,scad,Bandeira2017[366-412],
Angolar,ŋgaˈpo,kɐɾɐˈpaw,ŋ.ga.ˈpo,kɐ.ɾɐ.ˈpaw,ˈpo,ˈpaw,3,3,,carapau,scad,Bandeira2017[366-412],
Angolar,kikiˈe,ˈpejʃɨ,ki.ki.ˈe,ˈpej.ʃɨ,,,,,,peixe,fish,Bandeira2017[366-412],
Angolar,va:ˈdo,vuɐˈdoɾ,va:.ˈdo,vu.ɐ.ˈdoɾ,va:,vu,1,1,,voador,flying fish,Bandeira2017[366-412],
