Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,Source word length,TargetWord length,SourceWordSyl length,TargetWordSyl length,Word diff,Word bigger,Syll diff,SylNum bigger,TargetOrthography,Translation,Reference,Notes
Kannur,dɾumi,duɾmiɾ,dɾu'mi,duɾˈmiɾ,5,6,2,2,-1,Target,0,Equal,dormir,sleep,Clements2012[37-41],
Kannur,piken,pɨkenu,pi'ken,pɨˈke'nu,5,6,2,3,-1,Target,-1,Target,pequeno,small,Clements2012[37-41],
Kannur,t̠ʃeɾə,ʃɐjɾaɾ,t̠ʃe'ɾə,ʃɐjˈɾaɾ,4,6,2,2,-2,Target,0,Equal,cheirar,smell,Clements2012[37-41],
Kannur,fumə,fumu,fu'mə,ˈfumu,4,4,2,2,0,Equal,0,Equal,fumo,smoke,Clements2012[37-41],
Kannur,kɔbɾə,kɔbɾɐ,kɔ'bɾə,ˈkɔbɾɐ,5,5,2,2,0,Equal,0,Equal,cobra,snake,Clements2012[37-41],
Kannur,ajs,nevɨ,ajs,ˈnevɨ,3,4,1,2,-1,Target,-1,Target,neve,snow,Clements2012[37-41],English or Dutch origin
Kannur,kuspi,kuʃpiɾ,kus'pi,kuʃˈpiɾ,5,6,2,2,-1,Target,0,Equal,cuspir,spit,Clements2012[37-41],
Kannur,abɾi,ɐbɾiɾ ,a'bɾi,ɐˈbɾiɾ ,4,6,2,2,-2,Target,0,Equal,abrir,split,Clements2012[37-41],
Kannur,piɲɛ,ɐpɨɾtaɾ,pi'ɲɛ,ɐ'pɨɾˈtaɾ,4,7,2,3,-3,Target,-1,Target,apertar,squeeze,Clements2012[37-41],
Kannur,t̠ʃut̠ʃɛ,pɨɾfuɾaɾ,t̠ʃu't̠ʃɛ,pɨɾ'fuˈɾaɾ,4,8,2,3,-4,Target,-1,Target,,pierce,Clements2012[37-41],
Kannur,impɛ,ɐ̃j pɛ,im'pɛ,ɐ̃j ˈpɛ,4,6,2,2,-2,Target,0,Equal,estar em pé,stand,Clements2012[37-41],
Kannur,igɾi,iɾgeɾ,ig'ɾi,iɾˈgeɾ,4,5,2,2,-1,Target,0,Equal,erguer,stand,Clements2012[37-41],
Kannur,ɪstɾɛlə,ʃtɾeɫɐ ,ɪs'tɾɛ'lə,ʃˈtɾe'ɫɐ ,7,7,3,3,0,Equal,0,Equal,estrela,star,Clements2012[37-41],
Kannur,kanə,kɐnɐ,ka'nə,ˈkɐnɐ,4,4,2,2,0,Equal,0,Equal,cana,stick,Clements2012[37-41],
Kannur,pædɾə,pedɾɐ,pæ'dɾə,ˈpedɾɐ,5,5,2,2,0,Equal,0,Equal,pedra,stone,Clements2012[37-41],
Kannur,dɾɛtə,diɾɐjtu ,dɾɛ'tə,diˈɾɐj'tu ,5,8,2,3,-3,Target,-1,Target,direito,straight,Clements2012[37-41],
Kannur,t̠ʃupɛ,ʃupaɾ,t̠ʃu'pɛ,ʃuˈpaɾ,4,5,2,2,-1,Target,0,Equal,chupar,suck,Clements2012[37-41],
Kannur,sɔl,sɔl,sɔl,sɔl,3,3,1,1,0,Equal,0,Equal,sol,sun,Clements2012[37-41],
Kannur,int̠ʃə,ĩʃaɾ,in't̠ʃə,ĩˈʃaɾ,4,5,2,2,-1,Target,0,Equal,inchar,swell,Clements2012[37-41],
Kannur,ɾabə,ʁabu,ɾa'bə,ˈʁabu,4,4,2,2,0,Equal,0,Equal,rabo,tail,Clements2012[37-41],
Kannur,akəl,ɐkiɫu,a'kəl, ɐˈki'ɫu,4,6,2,3,-2,Target,-1,Target,aquilo,that,Clements2012[37-41],
Kannur,ali,ɐɫi,a'li,ɐˈɫi,3,3,2,2,0,Equal,0,Equal,ali,there,Clements2012[37-41],
Kannur,olot,eɫɨʃ,o'lot,ˈeɫɨʃ,4,4,2,2,0,Equal,0,Equal,eles,they,Clements2012[37-41],
Kannur,gɾosə,gɾosu,gɾo'sə,ˈgɾosu,5,5,2,2,0,Equal,0,Equal,grosso,thick,Clements2012[37-41],
Kannur,finə,finu,fi'nə,ˈfinu,4,4,2,2,0,Equal,0,Equal,fino,thin,Clements2012[37-41],
Kannur,lembɾa,lẽbɾaɾ,lem'bɾa,lẽˈbɾaɾ,6,7,2,2,-1,Target,0,Equal,lembrar,think,Clements2012[37-41],
Kannur,isti,eʃtɨ,is'ti,ˈeʃtɨ,4,4,2,2,0,Equal,0,Equal,este,this,Clements2012[37-41],
Kannur,bosə,vɔʃ,bo'sə,ˈvɔʃ,4,3,2,2,1,Source,0,Equal,vós,thou,Clements2012[37-41],
Kannur,tɾesə,tɾeʃ,tɾe'sə,ˈtɾeʃ,5,4,2,2,1,Source,0,Equal,três,three,Clements2012[37-41],
Kannur,pint̠ʃə,pĩʃaɾ,pin't̠ʃə,pĩˈʃaɾ,5,6,2,2,-1,Target,0,Equal,pinchar,throw,Clements2012[37-41],
