Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,PositionSource,PositionTarget,Process,TargetOrthography,Translation,Reference,Notes
Papia Kristang,beˈbe,bɨˈbeɾ,be.ˈbe,bɨ.ˈbeɾ,ˈbe,ˈbeɾ,2,2,,beber,drink,Baxter2004,
Papia Kristang,kuˈmi,kuˈmeɾ,ku.ˈmi,ku.ˈmeɾ,ku,ku,1,1,,comer,eat,Baxter1990[7-21],
Papia Kristang,kuˈmi,kuˈmeɾ,ku.ˈmi,ku.ˈmeɾ,ˈmi,ˈmeɾ,2,2,,comer,eat,Baxter1990[7-21],
Papia Kristang,ˈobu,ˈovu,ˈo.bu,ˈo.vu,ˈo,ˈo,1,1,,ovo,egg,Baxter1990[7-21],
Papia Kristang,ˈobu,ˈovu,ˈo.bu,ˈo.vu,bu,vu,2,2,assimilation,ovo,egg,Baxter1990[7-21],
Papia Kristang,paˈga,ɐpɐˈgaɾ,pa.ˈga,ɐ.pɐ.ˈgaɾ,-,ɐ,-,1,,apagar,extinguish,Baxter1990[7-21],
Papia Kristang,paˈga,ɐpɐˈgaɾ,pa.ˈga,ɐ.pɐ.ˈgaɾ,pa,pɐ,1,2,,apagar,extinguish,Baxter1990[7-21],
Papia Kristang,paˈga,ɐpɐˈgaɾ,pa.ˈga,ɐ.pɐ.ˈgaɾ,ˈga,ˈgaɾ,2,3,,apagar,extinguish,Baxter1990[7-21],
Papia Kristang,ˈolu,ˈoʎu,ˈo.lu,ˈo.ʎu,ˈo,ˈo,1,1,,olho,eye,Baxter1990[7-21],
Papia Kristang,ˈolu,ˈoʎu,ˈo.lu,ˈo.ʎu,lu,ʎu,2,2,,olho,eye,Baxter1990[7-21],
Papia Kristang,ˈpesi,ˈpɐjʃɨ,ˈpe.si,ˈpɐj.ʃɨ,ˈpe,ˈpɐj,1,1,,peixe,fish,Baxter1990[7-21],
Papia Kristang,ˈpesi,ˈpɐjʃɨ,ˈpe.si,ˈpɐj.ʃɨ,si,ʃɨ,2,2,,peixe,fish,Baxter1990[7-21],
Papia Kristang,abuˈa,vuˈaɾ,a.bu.ˈa,vu.ˈaɾ,a,-,1,-,,voar,fly,Baxter2004,
Papia Kristang,abuˈa,vuˈaɾ,a.bu.ˈa,vu.ˈaɾ,bu,vu,2,1,assimilation,voar,fly,Baxter2004,
Papia Kristang,abuˈa,vuˈaɾ,a.bu.ˈa,vu.ˈaɾ,ˈa,ˈaɾ,3,2,,voar,fly,Baxter2004,
Papia Kristang,pɛw,pɛ,pɛw,pɛ,pɛw,pɛ,1,1,,pé,foot,Baxter2004,
Papia Kristang,ŋˈt̠ʃidu,ẽ'ʃidu,ŋ.ˈt̠ʃi.du,ẽ.'ʃi.du,ŋ,ẽ,1,1,,enchido,full,Baxter1990[7-21],
Papia Kristang,ŋˈt̠ʃidu,ẽ'ʃidu,ŋ.ˈt̠ʃi.du,ẽ.'ʃi.du,ˈt̠ʃi,ʃi,2,2,,enchido,full,Baxter1990[7-21],
Papia Kristang,ŋˈt̠ʃidu,ẽ'ʃidu,ŋ.ˈt̠ʃi.du,ẽ.'ʃi.du,du,du,3,3,,enchido,full,Baxter1990[7-21],
Papia Kristang,ˈalu,ˈaʎu,ˈa.lu,ˈa.ʎu,ˈa,ˈa,1,1,,alho,garlic,Baxter1990[7-21],
Papia Kristang,ˈalu,ˈaʎu,ˈa.lu,ˈa.ʎu,lu,ʎu,2,2,,alho,garlic,Baxter1990[7-21],
Papia Kristang,ˈda,ˈdaɾ,ˈda,ˈdaɾ,ˈda,ˈdaɾ,1,1,,dar,give,Baxter2004,
Papia Kristang,bai,vaj,bai,vaj,bai,vaj,1,1,,vai,go,Baxter1990[7-21],
Papia Kristang,boŋ,ˈbõ,boŋ,ˈbõ,boŋ,ˈbõ,1,1,,bom,good,Baxter1990[7-21],
Papia Kristang,ˈεbra,ˈɛɾvɐ,ˈε.bra,ˈɛɾ.vɐ,ˈε,ˈɛɾ,1,1,,erva,grass,Baxter1990[7-21],
Papia Kristang,ˈεbra,ˈɛɾvɐ,ˈε.bra,ˈɛɾ.vɐ,bra,ˈvɐ,2,2,metathesis,erva,grass,Baxter1990[7-21],
Papia Kristang,ˈmaŋ,ˈmɐ̃w̃,ˈmaŋ,ˈmɐ̃w̃,ˈmaŋ,ˈmɐ̃w̃,1,,,mão,hand,Baxter2004,
Papia Kristang,eli,ˈelɨ,e.li,ˈe.lɨ,e,ˈe,1,1,,ele,he,Baxter1990[7-21],
Papia Kristang,eli,ˈelɨ,e.li,ˈe.lɨ,li,lɨ,2,2,,ele,he,Baxter1990[7-21],
Papia Kristang,kaˈbesa,kɐˈbesɐ,ka.ˈbe.sa,kɐ.ˈbe.sɐ,ka,kɐ,1,1,,cabeça,head,Baxter2004,
Papia Kristang,kaˈbesa,kɐˈbesɐ,ka.ˈbe.sa,kɐ.ˈbe.sɐ,ˈbe,ˈbe,2,2,,cabeça,head,Baxter2004,
Papia Kristang,kaˈbesa,kɐˈbesɐ,ka.ˈbe.sa,kɐ.ˈbe.sɐ,sa,sɐ,3,3,,cabeça,head,Baxter2004,
Papia Kristang,uˈbi,ˈoviɾ,u.ˈbi,o.ˈviɾ,u,o,1,1,,ouvir,hear,Baxter1990[7-21],
Papia Kristang,uˈbi,ˈoviɾ,u.ˈbi,o.ˈviɾ,ˈbi,ˈviɾ,2,2,,ouvir,hear,Baxter1990[7-21],
