Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,SourceWordSyl Length,TargetWordSyl Length,PositionSource,PositionTarget,PositionSource Simple,PositionTarget Simple,Previous SourceSyllable,Next SourceSyllable,Previous TargetSyllable,Next TargetSyllable,Process,TargetOrthography,Translation,Reference,Notes
Timor Pidgin,ˈbaka,ˈvakɐ,ˈba.ka,ˈva.kɐ,ka,kɐ,2,2,2,2,Final,Final,ˈba,2,ˈva,2,,vaca,bovine,Baxter1990[7-21],
Timor Pidgin,ˈobi,oˈviɾ,ˈo.bi,o.ˈviɾ,ˈo,o,2,2,1,1,Initial,Initial,0,bi,0,ˈviɾ,,ouvir,hear,Baxter1990[7-21],
Timor Pidgin,ˈobi,oˈviɾ,ˈo.bi,o.ˈviɾ,bi,ˈviɾ,2,2,2,2,Final,Final,ˈo,2,o,2,,ouvir,hear,Baxter1990[7-21],
Timor Pidgin,ˈɔbu,ˈovu,ˈɔ.bu,ˈo.vu,ˈɔ,ˈo,2,2,1,1,Initial,Initial,0,bu,0,vu,,ovo,egg,Baxter1990[7-21],
Timor Pidgin,ˈɔbu,ˈovu,ˈɔ.bu,ˈo.vu,bu,vu,2,2,2,2,Final,Final,ˈɔ,2,ˈo,2,,ovo,egg,Baxter1990[7-21],
Timor Pidgin,ˈnobu,ˈnovu,ˈno.bu,ˈno.vu,ˈno,ˈno,2,2,1,1,Initial,Initial,0,bu,0,vu,,novo,new,Baxter1990[7-21],
Timor Pidgin,ˈnobu,ˈnovu,ˈno.bu,ˈno.vu,bu,vu,2,2,2,2,Final,Final,ˈno,2,ˈno,2,,novo,new,Baxter1990[7-21],
Timor Pidgin,aˈzeti,ɐˈzɐjtɨ,a.ˈze.ti,ɐ.ˈzɐj.tɨ,a,ɐ,3,3,1,1,Initial,Initial,0,ˈze,0,ˈzɐj,,azeite,oil,Baxter1990[7-21],
Timor Pidgin,aˈzeti,ɐˈzɐjtɨ,a.ˈze.ti,ɐ.ˈzɐj.tɨ,ˈze,ˈzɐj,3,3,2,2,Medial,Medial,a,ti,ɐ,tɨ,,azeite,oil,Baxter1990[7-21],
Timor Pidgin,aˈzeti,ɐˈzɐjtɨ,a.ˈze.ti,ɐ.ˈzɐj.tɨ,ti,tɨ,3,3,3,3,Final,Final,ˈze,3,ˈzɐj,3,,azeite,oil,Baxter1990[7-21],
Timor Pidgin,ˈpetu,ˈpejtu,ˈpe.tu,ˈpej.tu,ˈpe,ˈpej,2,2,1,1,Initial,Initial,0,tu,0,tu,,peito,breast,Baxter1990[7-21],
Timor Pidgin,ˈpetu,ˈpejtu,ˈpe.tu,ˈpej.tu,tu,tu,2,2,2,2,Final,Final,ˈpe,2,ˈpej,2,,peito,breast,Baxter1990[7-21],
Timor Pidgin,ˈbesu,ˈbɐjʒu,ˈbe.su,ˈbɐj.ʒu,ˈbe,ˈbɐj,2,2,1,1,Initial,Initial,0,su,0,ʒu,,beiço,lip,Baxter1990[7-21],
