Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,PositionSource,PositionTarget,Process,TargetOrthography,Translation,Reference,Notes,SourceWordlength,,,,SourceWordlength,TargetWordlength,,,,,,,,SourceWordSly length,TargetWordSly length,Word diff,Word bigger,Sly diff,SylNumbigger,Encontra espaço branco
Patua Macau,puˈsabaˈfado,ˈpuʃɐˈbafu,pu.ˈsa.ba.ˈfa.do,ˈpu.ʃɐ.ˈba.fu,ˈtro,ˈo(w),1,1,metatheis,outro,other,Baxter1990[7-21],,12,pusabafado,pusabafado,pusabafado,10,8,puxabafo,ˈpuʃɐˈbafu,ˈpuʃɐˈbafu,puʃɐbafu,puʃɐbafu,puʃɐbafu,puʃɐbafu,5,4,2,Source,1,Source,#VALUE!
Patua Macau,vɛ̃,ˈvɐ̃j̃,vɛ̃,ˈvɐ̃j̃,-,tru,-,2,,outro,other,Baxter1990[7-21],,3,vɛ̃,vɛ̃,vɛ̃,3,3,vem,ˈvɐ̃j̃,ˈvɐ̃j̃,vɐ̃j̃,vɐ̃j̃,vɐ̃j̃,vaj,1,1,0,Equal,0,Equal,#VALUE!
Patua Macau,vai,vaj,vai,vaj,ˈkjan,kɾi,1,1,,criança,child,Baxter1990[7-21],,3,vai,vai,vai,3,3,vai,vaj,vaj,vaj,vaj,vaj,vaj,1,1,0,Equal,0,Equal,#VALUE!
Patua Macau,faˈze,fɐˈzeɾ,fa.ˈze,fɐ.ˈzeɾ,-,ˈɐ̃,-,2,,criança,child,Baxter1990[7-21],,5,faze,faze,faze,4,5,fazer,fɐˈzeɾ,fɐˈzeɾ,fɐzeɾ,fɐzeɾ,fɐzeɾ,fɐzeɾ,2,2,-1,Target,0,Equal,#VALUE!
Patua Macau,poˈde,puˈder,po.ˈde,pu.ˈder,sa,sɐ,2,3,,criança,child,Baxter1990[7-21],,5,pode,pode,pode,4,5,poder,puˈder,puˈder,puder,puder,puder,puder,2,2,-1,Target,0,Equal,#VALUE!
Patua Macau,sanˈde,ɐsẽˈder,san.ˈde,ɐ.sẽ.ˈder,ˈva,ˈva,1,1,,vaca,bovine,Baxter1990[7-21],,6,sande,sande,sande,5,7,acender,ɐsẽˈder,ɐsẽˈder,ɐsẽder,ɐsẽder,ɐsẽder,ɐsẽder,2,3,-2,Target,-1,Target,#VALUE!
Patua Macau,maˈra,ɐmɐˈʀar,ma.ˈra,ɐ.mɐ.ˈʀar,ka,kɐ,2,2,,vaca,bovine,Baxter1990[7-21],,5,mara,mara,mara,4,7,amarrar,ɐmɐˈʀar,ɐmɐˈʀar,ɐmɐʀar,ɐmɐʀar,ɐmɐʀar,ɐmɐʀar,2,3,-3,Target,-1,Target,#VALUE!
Patua Macau,paˈga,ɐpɐˈɡar,pa.ˈga,ɐ.pɐ.ˈɡar,u,o(w),1,1,,ouvir,hear,Baxter1990[7-21],,5,paga,paga,paga,4,6,apagar,ɐpɐˈɡar,ɐpɐˈɡar,ɐpɐɡar,ɐpɐɡar,ɐpɐɡar,ɐpɐɡar,2,3,-2,Target,-1,Target,#VALUE!
Patua Macau,aprenˈde,ɐprẽˈder,a.pren.ˈde,ɐ.prẽ.ˈder,vˈi,ˈvir,2,2,,ouvir,hear,Baxter1990[7-21],,8,aprende,aprende,aprende,7,8,aprender,ɐprẽˈder,ɐprẽˈder,ɐprẽder,ɐprẽder,ɐprẽder,ɐprẽder,3,3,-1,Target,0,Equal,#VALUE!
Patua Macau,boˈta,buˈtar,bo.ˈta,bu.ˈtar,ˈɔ,ˈo,1,1,,ovo,egg,Baxter1990[7-21],,5,bota,bota,bota,4,5,botar,buˈtar,buˈtar,butar,butar,butar,butar,2,2,-1,Target,0,Equal,#VALUE!
Patua Macau,sai,sɐˈiɾ,sai,sɐ.ˈiɾ,vu,vu,2,2,,ovo,egg,Baxter1990[7-21],,3,sai,sai,sai,3,4,sair,sɐˈiɾ,sɐˈiɾ,sɐiɾ,sɐiɾ,sɐiɾ,sɐiɾ,1,2,-1,Target,-1,Target,#VALUE!
Patua Macau,ri,ˈʀir,ri,ˈʀir,ˈnɔ,ˈno,1,1,,novo,new,Baxter1990[7-21],,2,ri,ri,ri,2,3,rir,ˈʀir,ˈʀir,ʀir,ʀir,ʀir,ʀir,1,1,-1,Target,0,Equal,#VALUE!
Patua Macau,koˈme,kuˈmeɾ,ko.ˈme,ku.ˈmeɾ,vo,vu,2,2,,novo,new,Baxter1990[7-21],,5,kome,kome,kome,4,5,comer,kuˈmeɾ,kuˈmeɾ,kumeɾ,kumeɾ,kumeɾ,kumeɾ,2,2,-1,Target,0,Equal,#VALUE!
Patua Macau,t̠ʃeˈga,ʃɨˈɡaɾ,t̠ʃe.ˈga,ʃɨ.ˈɡaɾ,a,ɐ,1,1,,azeite,oil,Baxter1990[7-21],,7,t̠ʃega,t̠ʃega,ʃega,4,6,chegar,ʃɨˈɡaɾ,ʃɨˈɡaɾ,ʃɨɡaɾ,ʃɨɡaɾ,ʃɨɡaɾ,ʃɨɡaɾ,2,2,-2,Target,0,Equal,#VALUE!
Patua Macau,,,,,ˈze,ˈzɐj,2,2,,azeite,oil,Baxter1990[7-21],,,,,,,,,,,,,,,,,,,,,
Patua Macau,,,,,te,tɨ,3,3,,azeite,oil,Baxter1990[7-21],,,,,,,,,,,,,,,,,,,,,
Patua Macau,,,,,ˈbe,ˈbɐj,1,1,,beiço,lip,Baxter1990[7-21],,,,,,,,,,,,,,,,,,,,,
Patua Macau,,,,,so,su,2,2,,beiço,lip,Baxter1990[7-21],,,,,,,,,,,,,,,,,,,,,
Patua Macau,,,,,ˈpe,ˈpej,1,1,,peito,breast,Baxter1990[7-21],,,,,,,,,,,,,,,,,,,,,
Patua Macau,,,,,to,tu,2,2,,peito,breast,Baxter1990[7-21],,,,,,,,,,,,,,,,,,,,,
Patua Macau,,,,,ˈlε,ˈlɐj,1,1,,leite,milk,Baxter1990[7-21],,,,,,,,,,,,,,,,,,,,,
Patua Macau,,,,,te,tɨ,2,2,,leite,milk,Baxter1990[7-21],,,,,,,,,,,,,,,,,,,,,
Patua Macau,,,,,mu,mu,1,1,,mulher,"woman, wife",Baxter1990[7-21],,,,,,,,,,,,,,,,,,,,,
Patua Macau,,,,,ˈler,ˈʎɛr,2,2,,mulher,"woman, wife",Baxter1990[7-21],,,,,,,,,,,,,,,,,,,,,
Patua Macau,,,,,ˈɔ,ˈo,1,1,,olho,eye,Baxter1990[7-21],,,,,,,,,,,,,,,,,,,,,
Patua Macau,,,,,lu,ʎu,2,2,,olho,eye,Baxter1990[7-21],,,,,,,,,,,,,,,,,,,,,
Patua Macau,,,,,ˈda,ˈda,1,1,,dá-lhe,strike,Baxter1990[7-21],,,,,,,,,,,,,,,,,,,,,
Patua Macau,,,,,li,ˈda-ʎɨ,2,2,,dá-lhe,strike,Baxter1990[7-21],,,,,,,,,,,,,,,,,,,,,
Patua Macau,,,,,,,,,,olhar,"look, see",Baxter1990[7-21],,,,,,,,,,,,,,,,,,,,,
Patua Macau,,,,,,,,,,alho,garlic,Baxter1990[7-21],,,,,,,,,,,,,,,,,,,,,
Patua Macau,,,,,,,,,,eu,I,Baxter1990[7-21],,,,,,,,,,,,,,,,,,,,,
Patua Macau,,,,,,,,,,você,thou,Baxter1990[7-21],,,,,,,,,,,,,,,,,,,,,
Patua Macau,,,,,,,,,,ele,he,Baxter1990[7-21],,,,,,,,,,,,,,,,,,,,,
Patua Macau,,,,,,,,,,nós,we,Baxter1990[7-21],,,,,,,,,,,,,,,,,,,,,
Patua Macau,,,,,,,,,,vós,you,Baxter1990[7-21],,,,,,,,,,,,,,,,,,,,,
Patua Macau,,,,,,,,,,eles,they,Baxter1990[7-21],,,,,,,,,,,,,,,,,,,,,
Patua Macau,,,,,,,,,,nunca,no,Baxter1990[7-21],,,,,,,,,,,,,,,,,,,,,
Patua Macau,,,,,,,,,,não tem,not have,Baxter1990[7-21],,,,,,,,,,,,,,,,,,,,,
Patua Macau,,,,,,,,,,não pode,cannot,Baxter1990[7-21],,,,,,,,,,,,,,,,,,,,,
Patua Macau,,,,,,,,,,puxa bafo,breathe,Baxter1990[7-21],,,,,,,,,,,,,,,,,,,,,
Patua Macau,,,,,,,,,,vem,come,Baxter1990[7-21],,,,,,,,,,,,,,,,,,,,,
Patua Macau,,,,,,,,,,vai,go,Baxter1990[7-21],,,,,,,,,,,,,,,,,,,,,
Patua Macau,,,,,,,,,,fazer,do,Baxter1990[7-21],,,,,,,,,,,,,,,,,,,,,
Patua Macau,,,,,,,,,,poder,can,Baxter1990[7-21],,,,,,,,,,,,,,,,,,,,,
Patua Macau,,,,,,,,,,acender,ignite,Baxter1990[7-21],,,,,,,,,,,,,,,,,,,,,
Patua Macau,,,,,,,,,,amarrar,tie,Baxter1990[7-21],,,,,,,,,,,,,,,,,,,,,
Patua Macau,,,,,,,,,,apagar,extinguish,Baxter1990[7-21],,,,,,,,,,,,,,,,,,,,,
Patua Macau,,,,,,,,,,aprender,"learn, teach",Baxter1990[7-21],,,,,,,,,,,,,,,,,,,,,
Patua Macau,,,,,,,,,,botar,put,Baxter1990[7-21],,,,,,,,,,,,,,,,,,,,,
Patua Macau,,,,,,,,,,sair,leave,Baxter1990[7-21],,,,,,,,,,,,,,,,,,,,,
Patua Macau,,,,,,,,,,rir,laugh,Baxter1990[7-21],,,,,,,,,,,,,,,,,,,,,
Patua Macau,,,,,,,,,,comer,eat,Baxter1990[7-21],,,,,,,,,,,,,,,,,,,,,
Patua Macau,,,,,,,,,,chegar,arrive,Baxter1990[7-21],,,,,,,,,,,,,,,,,,,,,
