Language,SourceWord,TargetWord,SourceWord Syl,TargetWord Syl,NumberSylsource,NumberSylTarget,TemplateSylSource,TemplateSylTarget,SourceSyllable,TargetSyllable,PositionSource,PositionTarget,process,TargetOrthography,Translation,Reference,Notes
Korlai,use,vɔˈse,u.se,vɔ.ˈse,2,2,VCV,CVCV,u,vɔ,1,1,,você,you,Clements2012[37-41],
Korlai,use,vɔˈse,u.se,vɔ.ˈse,1,2,VCV,CVCV,se,se,2,2,,você,you,Clements2012[37-41],
Korlai,ʃi,sɨ,ʃi,sɨ,1,1,CV,CV,ʃi,sɨ,1,1,,se,if,Clements2012[37-41],
Korlai,maw,ˈmal,maw,ˈmal,1,1,CVC,CVC,maw,mal,1,1,,mal,bad,Clements2012[37-41],
Korlai,sajŋ,ˈsɐ̃ɡɨ,sajŋ,ˈsɐ̃.ɡɨ,1,2,CVCC,CVCV,sajŋ,sɐ̃,1,1,,sangue,blood,Clements2012[37-41],
Korlai,sajŋ,ˈsɐ̃ɡɨ,sajŋ,ˈsɐ̃.ɡɨ,1,2,CVCC,CVCV,-,ɡɨ,-,2,,sangue,blood,Clements2012[37-41],
Korlai,pejt,ˈpejtu,pejt,ˈpej.tu,1,2,CVCC,CVCV,pejt,pej,1,1,,peito,breast,Clements2012[37-41],
Korlai,pejt,ˈpejtu,pejt,ˈpej.tu,1,2,CVCC,CVCV,-,tu,-,2,,peito,breast,Clements2012[37-41],
Korlai,di,ˈdiɐ,di,ˈdiɐ,1,1,CV,CVC,di,diɐ,1,1,,dia,day,Clements2012[37-41],
Korlai,lɔ̃j,ˈlõʒɨ,lɔ̃j,ˈlõ.ʒɨ,1,1,CVCC,CVCCV,lɔ̃j,lõ,1,1,,longe,far,Clements2012[37-41],
Korlai,lɔ̃j,ˈlõʒɨ,lɔ̃j,ˈlõ.ʒɨ,1,2,CVCC,CVCCV,-,ʒɨ,-,2,,longe,far,Clements2012[37-41],
Korlai,manteg,ˈmɐ̃tɐjgɐ,man.teg,ˈmɐ̃.tɐj.gɐ,2,3,CVCCVC,CVCCVVCV,man,mɐ̃,1,1,,manteiga,ghee,Clements2012[37-41],
Korlai,manteg,ˈmɐ̃tɐjgɐ,man.teg,ˈmɐ̃.tɐj.gɐ,2,3,CVCCVC,CVCCVVCV,-,tɐj,-,2,,manteiga,ghee,Clements2012[37-41],
Korlai,manteg,ˈmɐ̃tɐjgɐ,man.teg,ˈmɐ̃.tɐj.gɐ,2,3,CVCCVC,CVCCVVCV,teg,gɐ,2,3,,manteiga,ghee,Clements2012[37-41],
Korlai,paj,paj,paj,paj,1,1,CVC,CVC,paj,paj,1,1,,pai,father,Clements2012[37-41],
Korlai,peʃ,ˈpejʃɨ,peʃ,ˈpej.ʃɨ,1,2,CVC,CVCCV,-,ʃɨ,-,2,,pai,father,Clements2012[37-41],
Korlai,fɾujt,ˈfɾutɐ,fɾujt,ˈfɾu.tɐ,1,2,CCVCC,CCVCV,fɾujt,fɾu,1,1,,fruta,fruit,Clements2012[37-41],
Korlai,fɾujt,ˈfɾutɐ,fɾujt,ˈfɾu.tɐ,1,2,CCVCC,CCVCV,-,tɐ,-,2,,fruta,fruit,Clements2012[37-41],
Korlai,mãw,ˈmɐ̃w̃,mãw,ˈmɐ̃w̃,1,1,CVCC,CVCC,mãw,ˈmɐ̃w̃,1,1,,mão,hand,Clements2012[37-41],
Korlai,maj,ˈmɐ̃j̃,maj,ˈmɐ̃j̃,1,1,CVC,CVCC,maj,ˈmɐ̃j̃,1,1,,mãe,mother,Clements2012[37-41],
Korlai,biɾmel,vɨɾˈmɐjʎu,biɾ.mel,vɨɾ.ˈmɐj.ʎu,2,3,CVCCVC,CVCCVCCV,biɾ,vɨɾ,1,1,,vermelho,red,Clements2012[37-41],
Korlai,biɾmel,vɨɾˈmɐjʎu,biɾ.mel,vɨɾ.ˈmɐj.ʎu,2,3,CVCCVC,CVCCVCCV,-,mɐj,-,2,,vermelho,red,Clements2012[37-41],
Korlai,biɾmel,vɨɾˈmɐjʎu,biɾ.mel,vɨɾ.ˈmɐj.ʎu,2,3,CVCCVC,CVCCVCCV,mel,ʎu,2,3,,vermelho,red,Clements2012[37-41],
Korlai,sews,ˈsɛw,sews,ˈsɛw,1,1,CVCC,CVC,sews,sɛw,1,1,,céus,sky,Clements2012[37-41],
Korlai,peʣad,peˈzadu,pe.ʣad,pe.ˈza.du,2,3,CVCVC,CVCVCV,pe,pe,1,1,,pesado,heavy,Clements2012[37-41],
Korlai,peʣad,peˈzadu,pe.ʣad,pe.ˈza.du,2,3,CVCVC,CVCVCV,-,za,-,2,,pesado,heavy,Clements2012[37-41],
Korlai,peʣad,peˈzadu,pe.ʣad,pe.ˈza.du,2,3,CVCVC,CVCVCV,ʣad,du,2,3,,pesado,heavy,Clements2012[37-41],
Korlai,bəɾəf,ˈʒɛlu,bə.ɾəf,ˈʒɛ.lu,2,2,CVCVC,CVCV,bə,ʒɛ,1,1,,gelo,ice,Clements2012[37-41],
Korlai,bəɾəf,ˈʒɛlu,bə.ɾəf,ˈʒɛ.lu,2,2,CVCVC,CVCV,ɾəf,lu,2,2,,gelo,ice,Clements2012[37-41],
Korlai,istɾel,iʃˈtɾɛlɐ,is.tɾel,iʃˈ.tɾɛ.lɐ,2,3,CVCCVC,CVCCVCV,is,iʃˈ,1,1,,estrela,star,Clements2012[37-41],
Korlai,istɾel,iʃˈtɾɛlɐ,is.tɾel,iʃˈ.tɾɛ.lɐ,2,3,CVCCVC,CVCCVCV,-,tɾɛ,-,2,,estrela,star,Clements2012[37-41],
Korlai,istɾel,iʃˈtɾɛlɐ,is.tɾel,iʃˈ.tɾɛ.lɐ,2,3,CVCCVC,CVCCVCV,tɾel,lɐ,2,3,,estrela,star,Clements2012[37-41],
Korlai,kɛ̃t,ˈkẽtɨ,kɛ̃t,ˈkẽ.tɨ,1,2,CVC,CVCCV,kɛ̃t,kẽ,1,1,,quente,warm,Clements2012[37-41],
Korlai,kɛ̃t,ˈkẽtɨ,kɛ̃t,ˈkẽ.tɨ,1,2,CVC,CVCCV,-,tɨ,-,2,,quente,warm,Clements2012[37-41],
Korlai,os,ˈɔsu,os,ˈɔ.su,1,2,VC,CVC,os,ɔ,1,1,,osso,bone,Clements2012[37-41],
Korlai,os,ˈɔsu,os,ˈɔ.su,1,2,VC,CVC,-,su,-,2,,osso,bone,Clements2012[37-41],
Korlai,animal,ɐniˈmaw,a.ni.mal,ɐ.ni.ˈmaw,3,3,VCVCVC,VCVCVC,a,ɐ.,1,1,,animal,animal,Clements2012[37-41],
Korlai,animal,ɐniˈmaw,a.ni.mal,ɐ.ni.ˈmaw,3,3,VCVCVC,VCVCVC,ni,ni,2,2,,animal,animal,Clements2012[37-41],
Korlai,animal,ɐniˈmaw,a.ni.mal,ɐ.ni.ˈmaw,3,3,VCVCVC,VCVCVC,mal,maw,3,3,,animal,animal,Clements2012[37-41],
Korlai,hubja,ujˈvaʁ,hub.ja,uj.ˈvaʁ,2,2,CVCCV,VCCVC,hub,uj,1,1,,uivar,bark,Clements2012[37-41],
Korlai,hubja,ujˈvaʁ,hub.ja,uj.ˈvaʁ,2,2,CVCCV,VCCVC,ja,vaʁ,2,2,,uivar,bark,Clements2012[37-41],
Korlai,kaɾən,puʁki,ka.ɾən,puʁ.ki,2,2,CVCVC,CVCCV,ka,puʁ,1,1,,porque,because,Clements2012[37-41],
Korlai,kaɾən,puʁki,ka.ɾən,puʁ.ki,2,2,CVCVC,CVCCV,ɾən,ki,2,2,,porque,because,Clements2012[37-41],
Korlai,muɾde,moʁˈdeʁ,muɾ.de,moʁ.ˈdeʁ,2,2,CVCCV,CVCCVC,muɾ,moʁ,1,1,,morder,bite,Clements2012[37-41],
Korlai,muɾde,moʁˈdeʁ,muɾ.de,moʁ.ˈdeʁ,2,2,CVCCV,CVCCVC,de,deʁ,2,2,,morder,bite,Clements2012[37-41],
Korlai,pɾet,ˈpɾɛtu,pɾet,ˈpɾɛ.tu,1,2,CCVC,CCVCV,pɾet,pɾɛ,1,1,,preto,black,Clements2012[37-41],
Korlai,pɾet,ˈpɾɛtu,pɾet,ˈpɾɛ.tu,1,2,CCVC,CCVCV,-,tu,-,2,,preto,black,Clements2012[37-41],
