Language;SourceWord;TargetWord;SourceWord Syl;TargetWord Syl;NumberSylsource;NumberSylTarget;SourceSyllable;TargetSyllable;PositionSource;PositionTarget;Simple PositionSource;Simple PositionTarget;process;TargetOrthography;Translation;Reference;Notes
Korlai;fol;ˈfoʎɐ;fol;ˈfo.ʎɐ;1;2;fol;fo;1;1;Initial;Initial;;folha;leaf;Clements2012[37-123];
Korlai;fol;ˈfoʎɐ;fol;ˈfo.ʎɐ;1;2;-;ʎɐ;-;2;-;Medial;;folha;leaf;Clements2012[37-124];
Korlai;hika;fiˈkaɾ;hi.ka;fi.ˈkaɾ;2;2;hi;fi;1;1;Initial;Initial;;ficar;live;Clements2012[37-125];
Korlai;hika;fiˈkaɾ;hi.ka;fi.ˈkaɾ;2;2;ka;kaɾ;2;2;Medial;Medial;;ficar;live;Clements2012[37-126];
Korlai;fig;ˈfiɡɐdu;fig;ˈfi.ɡɐ.du;1;3;fig;fi;1;1;Initial;Initial;;figado;liver;Clements2012[37-127];
Korlai;fig;ˈfiɡɐdu;fig;ˈfi.ɡɐ.du;1;3;-;ɡɐ;-;2;-;Medial;;figado;liver;Clements2012[37-128];
Korlai;fig;ˈfiɡɐdu;fig;ˈfi.ɡɐ.du;1;3;-;du;-;3;-;Medial;;figado;liver;Clements2012[37-129];
Korlai;kopɾid;kõˈpɾidu;kop.ɾid;kõ.ˈpɾi.du;2;3;kop;kõ;1;1;Initial;Initial;;comprido;long;Clements2012[37-130];
Korlai;kopɾid;kõˈpɾidu;kop.ɾid;kõ.ˈpɾi.du;2;3;-;pɾi;-;2;-;Medial;;comprido;long;Clements2012[37-131];
Korlai;kopɾid;kõˈpɾidu;kop.ɾid;kõ.ˈpɾi.du;2;3;ɾid;du;2;3;Medial;Medial;;comprido;long;Clements2012[37-132];
Korlai;kʰaɾm;ˈkaɾnɨ;kʰaɾm;ˈkaɾ.nɨ;1;2;kʰaɾm;kaɾ;1;1;Initial;Initial;;carne;meat;Clements2012[37-133];
Korlai;kʰaɾm;ˈkaɾnɨ;kʰaɾm;ˈkaɾ.nɨ;1;2;-;nɨ;-;2;-;Medial;;carne;meat;Clements2012[37-134];
Korlai;luʋaɾ;luˈaɾ;lu.ʋaɾ;lu.ˈaɾ;2;2;lu;lu;1;1;Initial;Initial;;luar;moonlight;Clements2012[37-135];
Korlai;luʋaɾ;luˈaɾ;lu.ʋaɾ;lu.ˈaɾ;2;2;ʋaɾ;aɾ;2;2;Medial;Medial;;luar;moonlight;Clements2012[37-136];
Korlai;sɛɾ;ˈsɛʀɐ;sɛɾ;ˈsɛ.ʀɐ;1;2;sɛɾ;sɛ;1;1;Initial;Initial;;serra;mountain;Clements2012[37-137];
Korlai;sɛɾ;ˈsɛʀɐ;sɛɾ;ˈsɛ.ʀɐ;1;2;-;ʀɐ;2;2;Medial;Medial;;serra;mountain;Clements2012[37-138];
Korlai;ʋɛl;ˈveʎu;ʋɛl;ˈve.ʎu;1;2;ʋɛl;ve;1;1;Initial;Initial;;velho;old;Clements2012[37-139];
Korlai;ʋɛl;ˈveʎu;ʋɛl;ˈve.ʎu;1;2;-;ʎu;-;2;-;Medial;;velho;old;Clements2012[37-140];
Korlai;t̠ʃu;ˈʃuvɐ;t̠ʃu;ˈʃu.vɐ;1;2;t̠ʃu;ʃu;1;1;Initial;Initial;;chuva;rain;Clements2012[37-141];
Korlai;t̠ʃu;ˈʃuvɐ;t̠ʃu;ˈʃu.vɐ;1;2;-;vɐ;-;2;-;Medial;;chuva;rain;Clements2012[37-142];
