Language,SourceWord,SourceWord CV,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllabe,TargetSyllabe,PositionSource,PositionTarget,Process,TargetOrthopraphy,Translation,Reference,Notes
Sri Lanka Portuguese,fɔ:ja,CV.CV,ˈfoʎɐ,fɔ.:ja,ˈfo.ʎɐ,ja,ʎɐ,2,2,dissimilation,folha,leaf,Clements2012[37-41],
Sri Lanka Portuguese,majska:ɾda,CVCC.CVC.CV,ˈmɐ̃w ʃˈkeɾdɐ,majs.ka:ɾ.da,ˈmɐ̃w.ʃ.ˈkeɾ.dɐ,-,ˈmɐ̃w,1,1,,à esquerda,leftside,Clements2012[37-41],
Sri Lanka Portuguese,majska:ɾda,CVCC.CVC.CV,ˈmɐ̃w ʃˈkeɾdɐ,majs.ka:ɾ.da,ˈmɐ̃w.ʃ.ˈkeɾ.dɐ,majs,ʃ,2,2,,à esquerda,leftside,Clements2012[37-41],
Sri Lanka Portuguese,majska:ɾda,CVCC.CVC.CV,ˈmɐ̃w ʃˈkeɾdɐ,majs.ka:ɾ.da,ˈmɐ̃w.ʃ.ˈkeɾ.dɐ,ka:ɾ,ˈkeɾ,3,3,,à esquerda,leftside,Clements2012[37-41],
Sri Lanka Portuguese,majska:ɾda,CVCC.CVC.CV,ˈmɐ̃w ʃˈkeɾdɐ,majs.ka:ɾ.da,ˈmɐ̃w.ʃ.ˈkeɾ.dɐ,da,dɐ,-,4,,à esquerda,leftside,Clements2012[37-41],
Sri Lanka Portuguese,pe:,CV,ˈpeɾnɐ,pe:,ˈpeɾ.nɐ,pe:,ˈpeɾ,1,1,,perna,leg,Clements2012[37-41],
Sri Lanka Portuguese,pe:,CV,ˈpeɾnɐ,pe:,ˈpeɾ.nɐ,-,nɐ,-,2,,perna,leg,Clements2012[37-41],
Sri Lanka Portuguese,deta:,CV.CV,dɐjˈtaɾ,de.ta:,dɐj.ˈtaɾ,de,dɐj,1,1,,estar deitado,lie,Clements2012[37-41],
Sri Lanka Portuguese,deta:,CV.CV,dɐjˈtaɾ,de.ta:,dɐj.ˈtaɾ,ta:,ˈtaɾ,2,2,,estar deitado,lie,Clements2012[37-41],
Sri Lanka Portuguese,moɾa,CV.CV,muˈɾaɾ,mo.ɾa,mu.ˈɾaɾ,mo,mu,1,1,,morar,live,Clements2012[37-41],
Sri Lanka Portuguese,moɾa,CV.CV,muˈɾaɾ,mo.ɾa,mu.ˈɾaɾ,ɾa,ˈɾaɾ,2,2,,morar,live,Clements2012[37-41],
Sri Lanka Portuguese,paɾa,CV.CV,pɐˈɾaɾ,pa.ɾa,pɐ.ˈɾaɾ,pa,pɐ,1,1,,parar,live,Clements2012[37-41],
Sri Lanka Portuguese,paɾa,CV.CV,pɐˈɾaɾ,pa.ɾa,pɐ.ˈɾaɾ,ɾa,ˈɾaɾ,2,2,,parar,live,Clements2012[37-41],
Sri Lanka Portuguese,fi:ʋdu,CVC.CV,ˈfiɡɐdu,fi:ʋ.du,ˈfi.ɡɐ.du,fi:ʋ,ˈfi,1,1,,figado,liver,Clements2012[37-41],
Sri Lanka Portuguese,fi:ʋdu,CVC.CV,ˈfiɡɐdu,fi:ʋ.du,ˈfi.ɡɐ.du,-,ɡɐ,-,2,,figado,liver,Clements2012[37-41],
Sri Lanka Portuguese,fi:ʋdu,CVC.CV,ˈfiɡɐdu,fi:ʋ.du,ˈfi.ɡɐ.du,du,du,2,3,,figado,liver,Clements2012[37-41],
Sri Lanka Portuguese,kumpɾi:du,CVC.CCV.CV,kõˈpɾidu,kum.pɾi:.du,kõ.ˈpɾi.du,kum,kõ,1,1,,comprido,long,Clements2012[37-41],
Sri Lanka Portuguese,kumpɾi:du,CVC.CCV.CV,kõˈpɾidu,kum.pɾi:.du,kõ.ˈpɾi.du,pɾi:,ˈpɾi,2,2,,comprido,long,Clements2012[37-41],
Sri Lanka Portuguese,kumpɾi:du,CVC.CCV.CV,kõˈpɾidu,kum.pɾi:.du,kõ.ˈpɾi.du,du,du,3,3,,comprido,long,Clements2012[37-41],
Sri Lanka Portuguese,pijo:j,CV.CVC,piˈoʎu,pi.jo:j,pi.ˈo.ʎu,pi,pi,1,1,,piolho,louse,Clements2012[37-41],
Sri Lanka Portuguese,pijo:j,CV.CVC,piˈoʎu,pi.jo:j,pi.ˈo.ʎu,-,ˈo,-,2,,piolho,louse,Clements2012[37-41],
Sri Lanka Portuguese,pijo:j,CV.CVC,piˈoʎu,pi.jo:j,pi.ˈo.ʎu,jo:j,ʎu,2,3,,piolho,louse,Clements2012[37-41],
Sri Lanka Portuguese,ɔ:mi,V.CV,ˈomɐ̃j,ɔ.:mi,ˈo.mɐ̃j,ɔ:,ˈo,1,1,,homem,man,Clements2012[37-41],
Sri Lanka Portuguese,ɔ:mi,V.CV,ˈomɐ̃j,ɔ.:mi,ˈo.mɐ̃j,mi,mɐ̃j,2,2,,homem,man,Clements2012[37-41],
Sri Lanka Portuguese,mujtu,CVC.CV,ˈmũjtuʃ,muj.tu,ˈmũj.tuʃ,muj,ˈmũj,1,1,,muitos,many,Clements2012[37-41],
Sri Lanka Portuguese,mujtu,CVC.CV,ˈmũjtuʃ,muj.tu,ˈmũj.tuʃ,tu,tuʃ,2,2,,muitos,many,Clements2012[37-41],
Sri Lanka Portuguese,bastantə,CVC.CVC.CV,bɐʃˈtɐ̃tɨ,bas.tan.tə,bɐʃ.ˈtɐ̃.tɨ,bas,bɐʃ,1,1,,muitos,many,Clements2012[37-41],
Sri Lanka Portuguese,bastantə,CVC.CVC.CV,bɐʃˈtɐ̃tɨ,bas.tan.tə,bɐʃ.ˈtɐ̃.tɨ,tan,ˈtɐ̃,2,2,,muitos,many,Clements2012[37-41],
Sri Lanka Portuguese,bastantə,CVC.CVC.CV,bɐʃˈtɐ̃tɨ,bas.tan.tə,bɐʃ.ˈtɐ̃.tɨ,tə,tɨ,3,3,,muitos,many,Clements2012[37-41],
Sri Lanka Portuguese,ka:ɾni,CVC.CV,ˈkaɾnɨ,ka:ɾ.ni,ˈkaɾ.nɨ,ka:ɾ,ˈkaɾ,1,1,,carne,meat,Clements2012[37-41],
Sri Lanka Portuguese,ka:ɾni,CVC.CV,ˈkaɾnɨ,ka:ɾ.ni,ˈkaɾ.nɨ,ni,nɨ,2,2,,carne,meat,Clements2012[37-41],
Sri Lanka Portuguese,luma:ɾa,CV.CV.CV,luˈaɾ,lu.ma:.ɾa,lu.ˈaɾ,lu,lu,1,1,,luar,moonlight,Clements2012[37-41],
Sri Lanka Portuguese,luma:ɾa,CV.CV.CV,luˈaɾ,lu.ma:.ɾa,lu.ˈaɾ,ma:,-,2,-,,luar,moonlight,Clements2012[37-41],
