Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,PositionSource,PositionTarget,Process,TargetOrthography,Translation,Reference,Notes
Timor Pidgin,ˈt̠ʃua,ˈʃuvɐ,ˈt̠ʃu.a,ˈʃu.vɐ,a,vɐ,2,2,,chuva,rain,Baxter1990[7-21],
Timor Pidgin,kaˈt̠ʃoru,kɐˈʃoʀu,ka.ˈt̠ʃo.ru,kɐ.ˈʃo.ʀu,ka,kɐ,1,1,,cachorro,dog,Baxter1990[7-21],
Timor Pidgin,kaˈt̠ʃoru,kɐˈʃoʀu,ka.ˈt̠ʃo.ru,kɐ.ˈʃo.ʀu,ˈt̠ʃo,ˈʃo,2,2,,cachorro,dog,Baxter1990[7-21],
Timor Pidgin,kaˈt̠ʃoru,kɐˈʃoʀu,ka.ˈt̠ʃo.ru,kɐ.ˈʃo.ʀu,ru,ʀu,3,3,,cachorro,dog,Baxter1990[7-21],
Timor Pidgin,ˈt̠ʃeru,ˈʃɐjɾu,ˈt̠ʃe.ru,ˈʃɐj.ɾu,ˈt̠ʃe,ˈʃɐj,1,1,,cheiro,smell,Baxter1990[7-21],
Timor Pidgin,ˈt̠ʃeru,ˈʃɐjɾu,ˈt̠ʃe.ru,ˈʃɐj.ɾu,ru,ɾu,2,2,,cheiro,smell,Baxter1990[7-21],
Timor Pidgin,nˈt̠ʃidu,ẽˈʃidu,n.ˈt̠ʃi.du,ẽ.ˈʃi.du,n,ẽ,1,1,,enchido,full,Baxter1990[7-21],
Timor Pidgin,nˈt̠ʃidu,ẽˈʃidu,n.ˈt̠ʃi.du,ẽ.ˈʃi.du,ˈt̠ʃi,ˈʃi,2,2,,enchido,full,Baxter1990[7-21],
Timor Pidgin,nˈt̠ʃidu,ẽˈʃidu,n.ˈt̠ʃi.du,ẽ.ˈʃi.du,du,du,3,3,,enchido,full,Baxter1990[7-21],
Timor Pidgin,d̠ʒa,ʒa,d̠ʒa,ʒa,d̠ʒa,ʒa,1,1,,já,already,Baxter1990[7-21],
Timor Pidgin,ˈd̠ʒenti,ˈʒẽtɨ,ˈd̠ʒen.ti,ˈʒẽ.tɨ,ˈd̠ʒen,ˈʒẽ,1,1,,gente,person,Baxter1990[7-21],
Timor Pidgin,ˈd̠ʒenti,ˈʒẽtɨ,ˈd̠ʒen.ti,ˈʒẽ.tɨ,ti,tɨ,2,2,,gente,person,Baxter1990[7-21],
