Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,TargetOrthography,Translation,SourceWord Length,TargetWord Length,SourceWordSyl Length,TargetWordSyl Length,Word difference,Word bigger,Syl difference,Syl bigger,check white spaces,,,,
Timor Pidgin,ˈobi,oˈviɾ,ˈo.bi,o.ˈviɾ,ouvir,hear,3,4,2,2,-1,Target,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,aˈzeti,ɐˈzɐjtɨ,a.ˈze.ti,ɐ.ˈzɐj.tɨ,azeite,oil,5,6,3,3,-1,Target,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,ˈpetu,ˈpejtu,ˈpe.tu,ˈpej.tu,peito,breast,4,5,2,2,-1,Target,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,ˈbesu,ˈbɐjʒu,ˈbe.su,ˈbɐj.ʒu,beiço,lip,4,5,2,2,-1,Target,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,ˈleti,ˈlɐjtɨ,ˈle.ti,ˈlɐj.tɨ,leite,milk,4,5,2,2,-1,Target,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,ˈɔja,ɔˈʎaɾ,ˈɔ.ja,ɔ.ˈʎaɾ,olhar,"look, see",3,4,2,2,-1,Target,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,bos,ˈvɔʃ,bos,ˈvɔʃ,você,thou,3,3,1,1,0,Equal,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,eli,ˈelɨ,e.li,ˈe.lɨ,ele,he,3,3,2,2,0,Equal,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,nos,ˈnɔʃ,nos,ˈnɔʃ,nós,we,3,3,1,1,0,Equal,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,ˈpusaˈbafu,puˈʃaɾˈbafu,ˈpu.saˈba.fu,pu.ˈʃaɾ.ˈba.fu,puxa bafo,breathe,8,9,3,4,-1,Target,-1,Target,#VALUE!,#VALUE!,#VALUE!,#VALUE!,5
Timor Pidgin,ˈfaze,fɐˈzeɾ,ˈfa.ze,fɐˈ.zeɾ,fazer,do,4,5,2,2,-1,Target,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,ˈprende,pɾẽˈdeɾ,ˈpren.de,pɾẽ.ˈdeɾ,prender,"learn, teach",6,7,2,2,-1,Target,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,ˈbuska,buʃˈkaɾ,ˈbus.ka,buʃ.ˈkaɾ,buscar,seek,5,6,2,2,-1,Target,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,ˈbota,buˈtaɾ,ˈbo.ta,bu.ˈtaɾ,botar,put,4,5,2,2,-1,Target,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,korpu,ˈkoɾpu,kor.pu,ˈkoɾ.pu,body,body,5,5,2,2,0,Equal,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,ˈkume,kuˈmeɾ,ˈku.me,ku.ˈmeɾ,comer,eat,4,5,2,2,-1,Target,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,ˈsega,ʃɨˈɡaɾ,ˈse.ga,ʃɨ.ˈɡaɾ,chegar,arrive,4,5,2,2,-1,Target,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,alguˈdaŋ,aɫguˈdɐ̃w̃,al.gu.ˈdaŋ,aɫ.gu.ˈdɐ̃w̃,algodão,cotton,7,9,3,3,-2,Target,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,ˈsande,ɐsẽˈdeɾ,ˈsan.de,ɐ.sẽ.ˈdeɾ,acender,ignite,5,7,2,3,-2,Target,-1,Target,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,ˈmara,ɐmɐˈʀaɾ,ˈma.ra,ɐ.mɐ.ˈʀaɾ,amarrar,tie,4,6,2,3,-2,Target,-1,Target,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,ˈpaga,ɐpɐˈgaɾ,ˈpa.ga,ɐ.pɐ.ˈgaɾ,apagar,extinguish,4,6,2,3,-2,Target,-1,Target,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
