Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,SourceWordSyl,TargetWordSyl,SourceWordLength,TargetWordLength,SourceWordSylLength,TargetWordSylLength,WordDiff,WordBigger,SyllDiff,SylNumBigger,PositionSource,PositionTarget,SimplePositionSource,SimplePositionTarget,Process,TargetOrthography,Translation,Reference,Notes
Casamancese,korˈsõ,kuɾɐˈsɐ̃w,kor.ˈsõ,ku.ɾɐ.ˈsɐ̃w,kor,ku,2,3,5,8,2,3,-3,Target,-1,Target,1,1,Medial,Medial,methatesis,coração,heart,Biagui2012[22],
Casamancese,beˈbe,bɨˈbeɾ,be.ˈbe,bɨ.ˈbeɾ,be,bɨ,2,2,4,5,2,2,-1,Target,0,Equal,1,1,Medial,Medial,,beber,drink,Biagui2012[99],
Casamancese,kuˈme,kuˈmeɾ,ku.ˈme,ku.ˈmeɾ,ku,ku,2,2,4,5,2,2,-1,Target,0,Equal,1,1,Medial,Medial,,comer,eat,Biagui2012[99],
Casamancese,cuˈpa,ʃuˈpaɾ,cu.ˈpa,ʃu.ˈpaɾ,cu,ʃu,2,2,4,5,2,2,-1,Target,0,Equal,1,1,Medial,Medial,,"chupar, sugar",suck,Biagui2012[156],
Casamancese,suˈpra,suˈpɾaɾ,su.ˈpra,su.ˈpɾaɾ,su,su,2,2,5,6,2,2,-1,Target,0,Equal,1,1,Medial,Medial,,soprar,blow,Biagui2012[44],
Casamancese,seˈbe,sɐˈbeɾ,se.ˈbe,sɐ.ˈbeɾ,se,sɐ,2,2,4,5,2,2,-1,Target,0,Equal,1,1,Medial,Medial,,saber,know,Biagui2012[186],
Casamancese,durˈmi,duɾˈmiɾ,dur.ˈmi,duɾ.ˈmiɾ,dur,duɾ,2,2,5,6,2,2,-1,Target,0,Equal,1,1,Medial,Medial,,dormir,sleep,Biagui2012[196],
Casamancese,moˈre,muˈʁeɾ,mo.ˈre,mu.ˈʁeɾ,mo,mu,2,2,4,5,2,2,-1,Target,0,Equal,1,1,Medial,Medial,,morrer,die,Biagui2012[166],
Casamancese,korˈta,kuɾˈtaɾ,kor.ˈta,kuɾ.ˈtaɾ,kor,kuɾ,2,2,5,6,2,2,-1,Target,0,Equal,1,1,Medial,Medial,,cortar,cut,Biagui2012[12],
Casamancese,koˈsa,kuˈsaɾ,ko.ˈsa,ku.ˈsaɾ,ko,ku,2,2,4,5,2,2,-1,Target,0,Equal,1,1,Medial,Medial,,coçar,scratch,Biagui2012[106],
Casamancese,koˈba,kɐˈvaɾ,ko.ˈba,kɐ.ˈvaɾ,ko,kɐ,2,2,4,5,2,2,-1,Target,0,Equal,1,1,Medial,Medial,,cavar,dig,Biagui2012[13],
Casamancese,jeˈnda,ɐ̃ˈdaɾ,je.ˈnda,ɐ̃.ˈdaɾ,je,ɐ̃,2,2,5,5,2,2,0,Equal,0,Equal,1,1,Medial,Medial,,"andar, caminhar",walk,Biagui2012[13],
Casamancese,beŋ,vɐ̃j,beŋ,vɐ̃j,beŋ,vɐ̃j,1,1,3,4,1,1,-1,Target,0,Equal,1,1,Medial,Medial,Qual é o processo de /v/ para /b/?,vem,come,Biagui2012[158],
Casamancese,foj,mẽˈtiɾ,foj,mẽ.ˈtiɾ,,,,,3,6,1,2,-3,Target,-1,Target,,,,Final,,mentir,lie,Biagui2012[157],Not portuguese origin
Casamancese,siˈnta,sẽˈtaɾ,si.ˈnta,sẽ.ˈtaɾ,si,sẽ,2,2,5,6,2,2,-1,Target,0,Equal,1,1,Medial,Medial,,sentar,sit,Biagui2012[202],
Casamancese,labaˈnta,ɫɨvɐ̃ˈtaɾ,la.ba.ˈnta,ɫɨ.vɐ̃.ˈtaɾ,la,ɫɨ,3,3,7,8,3,3,-1,Target,0,Equal,1,1,Medial,Medial,,levantar,stand,Biagui2012[202],
Casamancese,kaj,kɐˈiɾ,kaj,kɐ.ˈiɾ,kaj,kɐ,1,2,3,4,1,2,-1,Target,-1,Target,1,1,Medial,Medial,,cair,fall,Biagui2012[157],
Casamancese,ˈda,ˈdaɾ,ˈda,ˈdaɾ,ˈda,ˈdaɾ,1,1,2,3,1,1,-1,Target,0,Equal,1,1,Medial,Medial,apocope,"dar, entregar",give,Biagui2012[77],
Casamancese,mperˈta,ɐpɨɾˈtaɾ,mper.ˈta,ɐ.pɨɾ.ˈtaɾ,-,ɐ,2,3,5,7,2,3,-2,Target,-1,Target,-,1,-,Medial,aphaeresis,"apertar, comprimir",squeeze,Biagui2012[59],
Casamancese,ferˈga,ʃfɾɨˈgaɾ,fer.ˈga,ʃ.fɾɨ.ˈgaɾ,-,ʃ,2,3,5,7,2,3,-2,Target,-1,Target,1,1,Medial,Medial,aphaeresis,"esfregar, friccionar",rub,Biagui2012[33],
Casamancese,laˈba,ɫɐˈvaɾ,la.ˈba,ɫɐ.ˈvaɾ,la,ɫɐ,2,2,4,5,2,2,-1,Target,0,Equal,1,1,Medial,Medial,,lavar,wash,Biagui2012[96],
