SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,TargetOrthopraphy,Translation,Reference,Notes,NumberSylSource,NumberSylTarget,TemplateSylSource,TemplateSylTarget,SourceWordLength,TargetWordLength,WordDiff,WordBigger,SourceWordSyl,TargetWordSyl,SylDiff,SylBigger
fɔ:ja,ˈfoʎɐ,fɔ.:ja,ˈfo.ʎɐ,folha,leaf,Clements2012[37-41],,,,,,5,4,1,Source,2,2,0,Equal
majska:ɾda,ˈmɐ̃w ʃˈkeɾdɐ,majs.ka:ɾ.da,ˈmɐ̃w.ʃ.ˈkeɾ.dɐ,à esquerda,leftside,Clements2012[37-41],,,,,,10,11,-1,Target,3,4,-1,Target
pe:,ˈpeɾnɐ,pe:,ˈpeɾ.nɐ,perna,leg,Clements2012[37-41],,,,,,3,5,-2,Target,1,2,-1,Target
deta:,dɐjˈtaɾ,de.ta:,dɐj.ˈtaɾ,estar deitado,lie,Clements2012[37-41],,,,,,5,6,-1,Target,2,2,0,Equal
moɾa,muˈɾaɾ,mo.ɾa,mu.ˈɾaɾ,morar,live,Clements2012[37-41],,,,,,4,5,-1,Target,2,2,0,Equal
paɾa,pɐˈɾaɾ,pa.ɾa,pɐ.ˈɾaɾ,parar,live,Clements2012[37-41],,,,,,4,5,-1,Target,2,2,0,Equal
fi:ʋdu,ˈfiɡɐdu,fi:ʋ.du,ˈfi.ɡɐ.du,figado,liver,Clements2012[37-41],,,,,,6,6,0,Equal,2,3,-1,Target
kumpɾi:du,kõˈpɾidu,kum.pɾi:.du,kõ.ˈpɾi.du,comprido,long,Clements2012[37-41],,,,,,9,8,1,Source,3,3,0,Equal
pijo:j,piˈoʎu,pi.jo:j,pi.ˈo.ʎu,piolho,louse,Clements2012[37-41],,,,,,6,5,1,Source,2,3,-1,Target
ɔ:mi,ˈomɐ̃j,ɔ.:mi,ˈo.mɐ̃j,homem,man,Clements2012[37-41],,,,,,4,5,-1,Target,2,2,0,Equal
mujtu,ˈmũjtuʃ,muj.tu,ˈmũj.tuʃ,muitos,many,Clements2012[37-41],,,,,,5,7,-2,Target,2,2,0,Equal
bastantə,bɐʃˈtɐ̃tɨ,bas.tan.tə,bɐʃ.ˈtɐ̃.tɨ,muitos,many,Clements2012[37-41],,,,,,8,8,0,Equal,3,3,0,Equal
ka:ɾni,ˈkaɾnɨ,ka:ɾ.ni,ˈkaɾ.nɨ,carne,meat,Clements2012[37-41],,,,,,6,5,1,Source,2,2,0,Equal
luma:ɾa,luˈaɾ,lu.ma:.ɾa,lu.ˈaɾ,luar,moonlight,Clements2012[37-41],,,,,,7,4,3,Source,3,2,1,Source
ma:j,ˈmɐ̃j̃,ma:j,ˈmɐ̃j̃,mãe,mother,Clements2012[37-41],,,,,,4,5,-1,Target,1,1,0,Equal
monta:ɲa,mõˈtɐɲɐ,mon.ta:.ɲa,mõ.ˈtɐ.ɲɐ,montanha,mountain,Clements2012[37-41],,,,,,8,7,1,Source,3,3,0,Equal
bo:ka,ˈbokɐ,bo:.ka,ˈbo.kɐ,boca,mouth,Clements2012[37-41],,,,,,5,4,1,Source,2,2,0,Equal
nɔ:mi,ˈnomɨ,nɔ:.mi,ˈno.mɨ,nome,name,Clements2012[37-41],,,,,,5,4,1,Source,2,2,0,Equal
