Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,SourceWordSyl,TargetWordSylLength,PositionSource,Position Target,Simple PositionSource,Simple PositionTarget,Previous source,Next source,Previous target,Next target,Process,TargetOrthography,Translation,Reference,Notes
Angolar,kaˈbelu,kɐˈbelu,kaˈ.be.lu,kɐˈ.belu,kaˈ,kɐˈ,3,2,1,1,Initial,Initial,0,be,0,be,,cabelo,hair,Bandeira2017[366-412],
Angolar,kaˈbelu,kɐˈbelu,kaˈ.be.lu,kɐˈ.belu,be,be,3,2,2,2,Medial,Final,kaˈ,lu,kɐˈ,lu,,cabelo,hair,Bandeira2017[366-412],
Angolar,kaˈbelu,kɐˈbelu,kaˈ.be.lu,kɐˈ.belu,lu,lu,3,2,3,3,Final,Medial,be,3,be,3,,cabelo,hair,Bandeira2017[366-412],
Angolar,ˈnte,ˈfɾõtɨ,ˈn.te,ˈfɾõ.tɨ,ˈn,ˈfɾõ,2,2,1,1,Initial,Initial,0,te,0,tɨ,,fronte,head,Bandeira2017[366-412],
Angolar,ˈnte,ˈfɾõtɨ,ˈn.te,ˈfɾõ.tɨ,te,tɨ,2,2,2,2,Final,Final,ˈn,2,ˈfɾõ,2,,fronte,head,Bandeira2017[366-412],
Angolar,kɔˈθɔ,kuɾɐˈsɐ̃w̃,kɔ.ˈθɔ,ku.ɾɐ.ˈsɐ̃w̃,kɔ,ku,2,3,1,1,Initial,Initial,0,-,0,ɾɐ,,coração,heart,Bandeira2017[366-412],
Angolar,kɔˈθɔ,kuɾɐˈsɐ̃w̃,kɔ.ˈθɔ,ku.ɾɐ.ˈsɐ̃w̃,-,ɾɐ,2,3,-,2,-,Medial,kɔ,ˈθɔ,ku,ˈsɐ̃w̃,,coração,heart,Bandeira2017[366-412],
Angolar,kɔˈθɔ,kuɾɐˈsɐ̃w̃,kɔ.ˈθɔ,ku.ɾɐ.ˈsɐ̃w̃,ˈθɔ,ˈsɐ̃w̃,2,3,2,3,Final,Final,-,2,ɾɐ,3,,coração,heart,Bandeira2017[366-412],
Angolar,kuˈpi,ˈkuʃpu,kuˈ.pi,ˈkuʃ.pu,kuˈ,ˈkuʃ,2,2,1,1,Initial,Initial,0,pi,0,pu,,cuspo,spit,Bandeira2017[366-412],
Angolar,kuˈpi,ˈkuʃpu,kuˈ.pi,ˈkuʃ.pu,pi,pu,2,2,2,2,Final,Final,kuˈ,2,ˈkuʃ,2,,cuspo,spit,Bandeira2017[366-412],
Angolar,ˈlũga,ˈlĩɡuɐ,ˈlũ.ga,ˈlĩ.ɡuɐ,ˈlũ,ˈlĩ,2,2,1,1,Initial,Initial,0,ga,0,ɡuɐ,,língua,tongue,Bandeira2017[366-412],
Angolar,ˈlũga,ˈlĩɡuɐ,ˈlũ.ga,ˈlĩ.ɡuɐ,ga,ɡuɐ,2,2,2,2,Final,Final,ˈlũ,2,ˈlĩ,2,,língua,tongue,Bandeira2017[366-412],
Angolar,ˈmo,ˈmɐ̃w̃,ˈmo,ˈmɐ̃w̃,ˈmo,ˈmɐ̃w̃,1,1,1,1,Final,Final,0,1,0,1,,mão,hand,Bandeira2017[366-412],
Angolar,ˈθɐ̃gɪ,ˈsɐ̃ɡɨ,ˈθɐ̃.gɪ,ˈsɐ̃.ɡɨ,ˈθɐ̃,ˈsɐ̃,2,2,1,1,Initial,Initial,0,gɪ,0,ɡɨ,,sangue,blood,Bandeira2017[366-412],
Angolar,ˈθɐ̃gɪ,ˈsɐ̃ɡɨ,ˈθɐ̃.gɪ,ˈsɐ̃.ɡɨ,gɪ,ɡɨ,2,2,2,2,Final,Final,ˈθɐ̃,2,ˈsɐ̃,2,,sangue,blood,Bandeira2017[366-412],
Angolar,kaˈθo,kɐˈʃoʀu,kaˈ.θo,kɐ.ˈʃo.ʀu,kaˈ,kɐ,2,3,1,1,Initial,Initial,0,θo,0,ˈʃo,,cachorro,dog,Bandeira2017[366-412],
Angolar,kaˈθo,kɐˈʃoʀu,kaˈ.θo,kɐ.ˈʃo.ʀu,θo,ˈʃo,2,3,2,2,Final,Medial,kaˈ,-,kɐ,ʀu,,cachorro,dog,Bandeira2017[366-412],
Angolar,kaˈθo,kɐˈʃoʀu,kaˈ.θo,kɐ.ˈʃo.ʀu,-,ʀu,2,3,3,3,Medial,Final,θo,3,ˈʃo,3,,cachorro,dog,Bandeira2017[366-412],
Angolar,ˈkabɐ,ˈkabɾɐ,ˈka.bɐ,ˈka.bɾɐ,ˈka,ˈka,2,2,1,1,Initial,Initial,0,bɐ,0,bɾɐ,,cabra,goat,Bandeira2017[366-412],
Angolar,ˈkabɐ,ˈkabɾɐ,ˈka.bɐ,ˈka.bɾɐ,bɐ,bɾɐ,2,2,2,2,Final,Final,ˈka,2,ˈka,2,,cabra,goat,Bandeira2017[366-412],
Angolar,ma:ˈku,mɐˈkaku,ma:.ˈku,mɐ.ˈka.ku,ma:,mɐ,2,3,1,1,Initial,Initial,0,-,0,ˈka,,macaco,monkey,Bandeira2017[366-412],
