Language;SourceWord;TargetWord;SourceWord Syl;TargetWord Syl;Source word length;Target word length;SourceWord Syl length;TargetWord Syl length;Word diff;Word bigger;Syll diff;SylNum bigger;Encontra espaço da erro;TargetOrthography;Translation;Reference;Notes
Korlai;fol;ˈfoʎɐ;fol;ˈfo.ʎɐ;3;4;1;2;-1;Target;-1;Target;#VALUE!;folha;leaf;Clements2012[37-41];
Korlai;hika;fiˈkaɾ;hi.ka;fi.ˈkaɾ;4;5;2;2;-1;Target;0;Equal;#VALUE!;ficar;live;Clements2012[37-41];
Korlai;fig;ˈfiɡɐdu;fig;ˈfi.ɡɐ.du;3;6;1;3;-3;Target;-2;Target;#VALUE!;figado;liver;Clements2012[37-41];
Korlai;kopɾid;kõˈpɾidu;kop.ɾid;kõ.ˈpɾi.du;6;8;2;3;-2;Target;-1;Target;#VALUE!;comprido;long;Clements2012[37-41];
Korlai;kʰaɾm;ˈkaɾnɨ;kʰaɾm;ˈkaɾ.nɨ;5;5;1;2;0;Equal;-1;Target;#VALUE!;carne;meat;Clements2012[37-41];
Korlai;luʋaɾ;luˈaɾ;lu.ʋaɾ;lu.ˈaɾ;5;4;2;2;1;Source;0;Equal;#VALUE!;luar;moonlight;Clements2012[37-41];
Korlai;sɛɾ;ˈsɛʀɐ;sɛɾ;ˈsɛ.ʀɐ;3;4;1;2;-1;Target;-1;Target;#VALUE!;serra;mountain;Clements2012[37-41];
Korlai;ʋɛl;ˈveʎu;ʋɛl;ˈve.ʎu;3;4;1;2;-1;Target;-1;Target;#VALUE!;velho;old;Clements2012[37-41];
Korlai;t̠ʃu;ˈʃuvɐ;t̠ʃu;ˈʃu.vɐ;2;4;1;2;-2;Target;-1;Target;#VALUE!;chuva;rain;Clements2012[37-41];
Korlai;d̠ʒus;ˈʒuʃtu;d̠ʒus;ˈʒuʃ.tu;3;5;1;2;-2;Target;-1;Target;#VALUE!;justo;correct;Clements2012[37-41];
Korlai;kami;kɐˈmiɲu;ka.mi;kɐˈmi.ɲu;4;6;2;2;-2;Target;0;Equal;#VALUE!;caminho;road;Clements2012[37-41];
Korlai;kɔɾd;ˈkɔɾdɐ;kɔɾd;ˈkɔɾ.dɐ;4;5;1;2;-1;Target;-1;Target;#VALUE!;corda;rope;Clements2012[37-41];
Korlai;sal;ˈsal;sal;ˈsal;3;3;1;1;0;Equal;0;Equal;#VALUE!;sal;salt;Clements2012[37-41];
Korlai;hala;fɐˈlaɾ;ha.la;fɐ.ˈlaɾ;4;5;2;2;-1;Target;0;Equal;#VALUE!;falar;say;Clements2012[37-41];
Korlai;maɾ;ˈmaɾ;maɾ;ˈmaɾ;3;3;1;1;0;Equal;0;Equal;#VALUE!;mar;sea;Clements2012[37-41];
Korlai;paɾse;pɐɾɨˈseɾ;paɾ.se;pɐ.ɾɨ.ˈseɾ;5;7;2;3;-2;Target;-1;Target;#VALUE!;parecer;see;Clements2012[37-41];
Korlai;simɛt;sɨˈmẽtɨ;si.mɛt;sɨ.ˈmẽ.tɨ;5;6;2;3;-1;Target;-1;Target;#VALUE!;semente;seed;Clements2012[37-41];
Korlai;kudze;kuˈzeɾ;kud.ze;ku.ˈzeɾ;5;5;2;2;0;Equal;0;Equal;#VALUE!;coser;sew;Clements2012[37-41];
Korlai;kuɾt;ˈkuɾtu;kuɾt;ˈkuɾ.tu;4;5;1;2;-1;Target;-1;Target;#VALUE!;curto;short;Clements2012[37-41];
Korlai;kata;kɐ̃ˈtaɾ;ka.ta;kɐ̃.ˈtaɾ;4;6;2;2;-2;Target;0;Equal;#VALUE!;cantar;sing;Clements2012[37-41];
Korlai;sata;sẽˈtaɾ;sa.ta;sẽ.ˈtaɾ;4;6;2;2;-2;Target;0;Equal;#VALUE!;sentar;sit;Clements2012[37-41];
Korlai;fum;ˈfumu;fum;ˈfu.mu;3;4;1;2;-1;Target;-1;Target;#VALUE!;fumo;smoke;Clements2012[37-41];
Korlai;liʣ;ˈlizu;liʣ;ˈli.zu;3;4;1;2;-1;Target;-1;Target;#VALUE!;liso;smooth;Clements2012[37-41];
Korlai;kɔb;ˈkɔbɾɐ;kɔb;ˈkɔ.bɾɐ;3;5;1;2;-2;Target;-1;Target;#VALUE!;cobra;snake;Clements2012[37-41];
Korlai;kuspi;kuʃˈpiɾ;kus.pi;kuʃ.ˈpiɾ;5;6;2;2;-1;Target;0;Equal;#VALUE!;cuspir;spit;Clements2012[37-41];
Korlai;fuɾa;fuˈɾaɾ;fu.ɾa;fu.ˈɾaɾ;4;5;2;2;-1;Target;0;Equal;#VALUE!;furar;pierce;Clements2012[37-41];
Korlai;sɔl;ˈsɔl;sɔl;ˈsɔl;3;3;1;1;0;Equal;0;Equal;#VALUE!;sol;sun;Clements2012[37-41];
Korlai;gɾos;ˈgɾosu;gɾos;ˈgɾo.su;4;5;1;2;-1;Target;-1;Target;#VALUE!;grosso;thick;Clements2012[37-41];
Korlai;fɾak;ˈfɾaku;fɾak;ˈfɾa.ku;4;5;1;2;-1;Target;-1;Target;#VALUE!;fraco;thin;Clements2012[37-41];
Korlai;fin;ˈfinu;fin;ˈfi.nu;3;4;1;2;-1;Target;-1;Target;#VALUE!;fino;thin;Clements2012[37-41];
Korlai;wɔ;ˈvɔʃ;wɔ;ˈvɔʃ;2;3;1;1;-1;Target;0;Equal;#VALUE!;vós;thou;Clements2012[37-41];
Korlai;liŋ;ˈlĩɡuɐ;liŋ;ˈlĩ.ɡuɐ;3;5;1;2;-2;Target;-1;Target;#VALUE!;língua;tongue;Clements2012[37-41];
Korlai;gumita;vumiˈtaɾ;gu.mi.ta;vu.mi.ˈtaɾ;6;7;3;3;-1;Target;0;Equal;#VALUE!;vomitar;throw up;Clements2012[37-41];
Korlai;maɾt̠ʃa;mɐɾˈʃaɾ;maɾ.t̠ʃa;mɐɾ.ˈʃaɾ;5;6;2;2;-1;Target;0;Equal;#VALUE!;marchar;walk;Clements2012[37-41];
Korlai;laʋa;lɐˈvaɾ;la.ʋa;lɐ.ˈvaɾ;4;5;2;2;-1;Target;0;Equal;#VALUE!;lavar;wash;Clements2012[37-41];
