Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceWordSyllabe,TargetWordSyllabe,PositionSource,PositionTarget,SourceWord Length,TargetWord Length,SourceWordSyl Length,TargetWordSyl Length,Word diff,Word bigger,Syll diff,SylNum bigger
Principense,sakuˈdi,ɐʒiˈtaɾ,sa.ku.ˈdi,ɐ.ʒi.ˈtaɾ,ˈdi,ˈtaɾ,3,3,6,6,3,3,0,Equal,0,Equal
Principense,saˈga,salˈgaɾ,sa.ˈga,sal.ˈgaɾ,sa,sal,1,1,4,6,2,2,-2,Target,0,Equal
Principense,saˈta,salˈtaɾ,sa.ˈta,sal.ˈtaɾ,ˈta,ˈtaɾ,2,2,4,6,2,2,-2,Target,0,Equal
Principense,saˈva,salˈvaɾ,sa.ˈva,sal.ˈvaɾ,sa,sal,1,1,4,6,2,2,-2,Target,0,Equal
Principense,saˈma,t̠ʃɐˈmaɾ,sa.ˈma,t̠ʃɐ.ˈmaɾ,ˈma,ˈmaɾ,2,2,4,5,2,2,-1,Target,0,Equal
Principense,seˈgwa,sɨɡuˈɾaɾ,se.ˈgwa,sɨ.ɡu.ˈɾaɾ,se,sɨ,1,1,5,7,2,3,-2,Target,-1,Target
Principense,sẽˈde,ɐsẽˈdeɾ,sẽ.ˈde,ɐ.sẽ.ˈdeɾ,ˈde,ˈdeɾ,2,3,5,7,2,3,-2,Target,-1,Target
Principense,sɛˈra,ʃɐjˈɾaɾ,sɛ.ˈra,ʃɐj.ˈɾaɾ,sɛ,ʃɐj,1,1,4,6,2,2,-2,Target,0,Equal
Principense,ʃiˈga,ʃɨˈɡaɾ,ʃi.ˈga,ʃɨ.ˈɡaɾ,ˈga,ˈɡaɾ,2,2,4,5,2,2,-1,Target,0,Equal
Principense,ʃikaˈpa,ʃkɐˈpaɾ,ʃi.ka.ˈpa,ʃ.kɐ.ˈpaɾ,ʃi,ʃ,1,1,6,6,3,3,0,Equal,0,Equal
Principense,ʃikeˈve,ʃkɾɨˈveɾ,ʃi.ke.ˈve,ʃ.kɾɨ.ˈveɾ,ˈve,ˈveɾ,3,3,6,7,3,3,-1,Target,0,Equal
Principense,ʃiˈmja,sɨmiˈaɾ,ʃi.ˈmja,sɨ.mi.ˈaɾ,ʃi,sɨ,1,1,5,6,2,3,-1,Target,-1,Target
Principense,ˈgo,ʃuˈɾaɾ,ˈgo,ʃu.ˈɾaɾ,-,ˈɾaɾ,-,2,2,5,1,2,-3,Target,-1,Target
Principense,sɔ̃mˈba,ɐsõˈbɾaɾ,sɔ̃m.ˈba,ɐ.sõ.ˈbɾaɾ,sɔ̃m,ɐ,1,1,6,8,2,3,-2,Target,-1,Target
Principense,sɔˈpa,suˈpɾaɾ,sɔ.ˈpa,su.ˈpɾaɾ,ˈpa,ˈpɾaɾ,2,2,4,6,2,2,-2,Target,0,Equal
Principense,suˈbi,suˈbiɾ,su.ˈbi,su.ˈbiɾ,su,su,1,1,4,5,2,2,-1,Target,0,Equal
Principense,suˈga,ẽʃuˈgaɾ,su.ˈga,ẽ.ʃu.ˈgaɾ,ˈga,ˈgaɾ,2,3,4,7,2,3,-3,Target,-1,Target
Principense,suˈpa,ʃuˈpaɾ,su.ˈpa,ʃu.ˈpaɾ,su,ʃu,1,1,4,5,2,2,-1,Target,0,Equal
Principense,ˈswa,suˈaɾ,ˈswa,su.ˈaɾ,-,ˈaɾ,-,2,3,4,1,2,-1,Target,-1,Target
Principense,tuˈsɐ̃,sẽˈtaɾ,tu.ˈsɐ̃,sẽ.ˈtaɾ,tu.ˈsɐ̃,sẽ,1,1,5,6,2,2,-1,Target,0,Equal
Principense,ˈte,ˈteɾ,ˈte,ˈteɾ,ˈte,ˈteɾ,1,1,2,3,1,1,-1,Target,0,Equal
Principense,tẽˈde,oˈviɾ,tẽ.ˈde,o.ˈviɾ,tẽ,o,1,1,5,4,2,2,1,Source,0,Equal
Principense,ˈt̠ʃa,tiˈɾaɾ,ˈt̠ʃa,ti.ˈɾaɾ,-,ˈɾaɾ,-,2,2,5,1,2,-3,Target,-1,Target
Principense,tɔˈbja,tɾɐbɐˈʎaɾ,tɔ.ˈbja,tɾɐ.bɐ.ˈʎaɾ,tɔ,tɾɐ,1,1,5,8,2,3,-3,Target,-1,Target
Principense,tɔˈra,tuˈʀaɾ,tɔ.ˈra,tu.ˈʀaɾ,ˈra,ˈʀaɾ,2,2,4,5,2,2,-1,Target,0,Equal
Principense,zuˈda,ɐʒuˈdaɾ,zu.ˈda,ɐ.ʒu.ˈdaɾ,zu,ɐ,1,1,4,6,2,3,-2,Target,-1,Target
Principense,fiˈmĩgɐ,fuɾˈmigɐ,fi.ˈmĩ.gɐ,fuɾ.ˈmi.gɐ,gɐ,gɐ,3,3,7,7,3,3,0,Equal,0,Equal
Principense,iˈdu,piˈoʎu,i.ˈdu,pi.ˈo.ʎu,i,pi,1,1,3,5,2,3,-2,Target,-1,Target
Principense,sɛ̃ˈkwa,pɨɾsɨˈvɐjʒu,sɛ̃.ˈkwa,pɨɾ.sɨ.ˈvɐj.ʒu,ˈkwa,ʒu,2,4,6,10,2,4,-4,Target,-2,Target
Principense,bũˈbu,ɐˈbɐʎɐ,bũ.ˈbu,ɐ.ˈbɐ.ʎɐ,bũ,ɐ,1,1,5,5,2,3,0,Equal,-1,Target
Principense,deˈfũtu,dɨˈfũtu,de.ˈfũ.tu,dɨ.ˈfũ.tu,tu,tu,3,3,7,7,3,3,0,Equal,0,Equal
Principense,ˈbwɛvɐ,ˈgɛmiu,ˈbwɛ.vɐ,ˈgɛ.mi.u,ˈbwɛ,ˈgɛ,1,1,5,5,2,3,0,Equal,-1,Target
Principense,ˈminu,mɨˈninu,ˈmi.nu,mɨ.ˈni.nu,nu,nu,2,3,4,6,2,3,-2,Target,-1,Target
Principense,ˈmjɛ,muˈʎeɾ,ˈmjɛ,mu.ˈʎeɾ,ˈmjɛ,mu,1,1,3,5,1,2,-2,Target,-1,Target
