Language,SourceWord,TargetWord,SourceWordSyllable,TargetWordSyylable,TargetOrthography,Translation,SourceWword Length,TargetWord Length,SourceWordSyl Length, TargetWordSyl Length,Word difference,word bigger,Syl difference ,Syl bigger
Fa d’Ambo,aˈmɐ̃ia,amɐˈɲɐ̃,a.ˈmɐ̃.i.a,a.mɐ.ˈɲɐ̃,amanhã,tomorrow,6,6,4,3,0,Equal,1,Source
Fa d’Ambo,aˈtõte,ɐ̃tiˈɔ̃tɐ̃j̃,a.ˈtõ.te,ɐ̃.ti.ˈɔ̃.tɐ̃j̃,anteontem,the day before yesterday,5,10,3,4,-5,Target,-1,Target
Fa d’Ambo,diˈʃiẽbulu,dɨˈzẽbɾu,di.ˈʃi.ẽ.bu.lu,dɨ.ˈzẽ.bɾu,dezembro,December,10,8,5,3,2,Source,2,Source
Fa d’Ambo,ˈd̠ʒja,ˈdiɐ,ˈd̠ʒja,ˈdi.ɐ,dia,day,3,3,1,2,0,Equal,-1,Target
Fa d’Ambo,d̠ʒiˈmĩgu,duˈmĩgu,d̠ʒi.ˈmĩ.gu,du.ˈmĩ.gu,domingo,sunday,7,7,3,3,0,Equal,0,Equal
Fa d’Ambo,febeˈlelu,fɨvɨˈɾejɾu,fe.be.ˈle.lu,fɨ.vɨ.ˈɾej.ɾu,fevereiro,February,8,9,4,4,-1,Target,0,Equal
Fa d’Ambo,ˈkĩtaˈfɛla,ˈkĩtɐˈfɐjɾɐ,ˈkĩ.ta.ˈfɛ.la,ˈkĩ.tɐ.ˈfɐj.ɾɐ,quinta-feira,thursday,9,10,4,4,-1,Target,0,Equal
Fa d’Ambo,ˈxwataˈfɛla,ˈkwaɾtaˈfɐjɾɐ,ˈxwa.ta.ˈfɛ.la,ˈkwaɾ.tɐ.ˈfɐj.ɾɐ,quarta-feira,wednesday,9,11,4,4,-2,Target,0,Equal
Fa d’Ambo,ˈmalusu,ˈmaɾsu,ˈma.lu.su,ˈmaɾ.su,março,March,6,5,3,2,1,Source,1,Source
Fa d’Ambo,ˈnot̠ʃi,ˈnojtɨ,ˈno.t̠ʃi,ˈnoj.tɨ,noite,night,4,5,2,2,-1,Target,0,Equal
Fa d’Ambo,ˈoze,ˈoʒɨ,ˈo.ze,ˈo.ʒɨ,hoje,today,3,3,2,2,0,Equal,0,Equal
Fa d’Ambo,ˈsabudu,ˈsabɐdu,ˈsa.bu.du,ˈsa.bɐ.du,sábado,saturday,6,6,3,3,0,Equal,0,Equal
Fa d’Ambo,sũdɐˈfɛlɐ,sɨˈgũdɐˈfejɾɐ,sũ.dɐ.ˈfɛ.lɐ,sɨ.ˈgũ.dɐ.ˈfej.ɾɐ,segunda-feira,Monday,9,12,4,5,-3,Target,-1,Target
Fa d’Ambo,ˈsistaˈfɛla,ˈsɐjʃtɐˈfɐjɾɐ,ˈsis.ta.ˈfɛ.la,ˈsɐjʃ.tɐ.ˈfɐj.ɾɐ,sexta-feira,Friday,9,11,4,4,-2,Target,0,Equal
Fa d’Ambo,ˈtad̠ʒi,ˈtaɾdɨ,ˈta.d̠ʒi,ˈtaɾ.dɨ,tarde,afternoon,4,5,2,2,-1,Target,0,Equal
Fa d’Ambo,ˈtɛ:saˈfɛla,ˈteɾsɐˈfɐjɾɐ,ˈtɛ:.sa.ˈfɛ.la,ˈteɾ.sɐ.ˈfɐj.ɾɐ,terça-feira,Tuesday,9,10,4,4,-1,Target,0,Equal
Fa d’Ambo,zeˈnelu,ʒɐˈnejɾu,ze.ˈne.lu,ʒɐ.ˈnej.ɾu,janeiro,January,6,7,3,3,-1,Target,0,Equal
Fa d’Ambo,ˈzuju,ˈʒuɲu,ˈzu.ju,ˈʒu.ɲu,junho,June,4,4,2,2,0,Equal,0,Equal
Fa d’Ambo,ˈalma,ˈaɫmɐ,ˈal.ma,ˈaɫ.mɐ,alma,soul,4,4,2,2,0,Equal,0,Equal
Fa d’Ambo,a:ˈtali,aɫˈtaɾ,a:.ˈta.li,aɫ.ˈtaɾ,altar,Altar,6,5,3,2,1,Source,1,Source
Fa d’Ambo,ˈdɛzu,ˈdewʃ,ˈdɛ.zu,ˈdewʃ,deus,god,4,4,2,1,0,Equal,1,Source
Fa d’Ambo,ˈd̠ʒjabu,diˈabu,ˈd̠ʒja.bu,di.ˈa.bu,diabo,devil,5,5,2,3,0,Equal,-1,Target
Fa d’Ambo,gɔˈlɔlja,ˈglɔɾjɐ,gɔ.ˈlɔ.lja,ˈglɔ.ɾjɐ,glória,glory,7,6,3,2,1,Source,1,Source
Fa d’Ambo,ˈku:su,ˈkɾuʃ,ˈku:.su,ˈkɾuʃ,cruz,cross,5,4,2,1,1,Source,1,Source
Fa d’Ambo,miˈlagulu,miˈlagɾɨ,mi.ˈla.gu.lu,mi.ˈla.gɾɨ,milagre,miracle,8,7,4,3,1,Source,1,Source
Fa d’Ambo,laˈsɐ̃,ɔɾɐˈsɐ̃w̃,la.ˈsɐ̃,ɔ.ɾɐ.ˈsɐ̃w̃,oração,prayer,5,7,2,3,-2,Target,-1,Target
Fa d’Ambo,ˈsɐ̃tu,ˈsɐ̃tu,ˈsɐ̃.tu,ˈsɐ̃.tu,santo,saint,5,5,2,2,0,Equal,0,Equal
Fa d’Ambo,ˈalba,ˈɛɾvɐ,ˈal.ba,ˈɛɾ.vɐ,erva,grass,4,4,2,2,0,Equal,0,Equal
Fa d’Ambo,ˈfol,ˈfoʎɐ,ˈfol,ˈfo.ʎɐ,folha,leaf,3,4,1,2,-1,Target,-1,Target
Fa d’Ambo,ˈfɔ:l,ˈfloɾ,ˈfɔ:l,ˈfloɾ,flor,flower,4,4,1,1,0,Equal,0,Equal
Fa d’Ambo,ˈxo:su,kɐˈɾosu,ˈxo:.su,kɐ.ˈɾo.su,caroço,lump,5,6,2,3,-1,Target,-1,Target
