Language,SourceWord,TargetWord,SourceWordSyllable,TargetWordSyylable,SourceSyllable,TargetSyllable,SourceWordSyl Length,TargetWordSyl Length,PositionSource,PositionTarget,PositionSource Simple,PositionTarget Simple,Previous SourceSyllable,Next SourceSyllable,Previous TargetSyllable,Next TargetSyllable,Process,TargetOrthography,Translation,References,Notes
Fa d’Ambo,ˈna:d̠ʒi,ɐbɐkɐˈʃi,ˈna:.d̠ʒi,ɐ.bɐ.kɐ.ˈʃi,kɐ,ˈna:,2,4,1,3,Initial,Medial,-,d̠ʒi,bɐ,ˈʃi,,abacaxi,pineapple,Bandeira2017[366-412],
Fa d’Ambo,ˈna:d̠ʒi,ɐbɐkɐˈʃi,ˈna:.d̠ʒi,ɐ.bɐ.kɐ.ˈʃi,ˈʃi,d̠ʒi,2,4,2,4,Final,Final,ˈna:,2,kɐ,4,,abacaxi,pineapple,Bandeira2017[366-412],
Fa d’Ambo,ˈɔvu,ˈovu,ˈɔ.vu,ˈo.vu,ˈo,ˈɔ,2,2,1,1,Initial,Initial,0,vu,0,vu,,ovo,egg,Bandeira2017[366-412],
Fa d’Ambo,ˈɔvu,ˈovu,ˈɔ.vu,ˈo.vu,vu,vu,2,2,2,2,Final,Final,ˈɔ,2,ˈo,2,,ovo,egg,Bandeira2017[366-412],
Fa d’Ambo,ˈpɐ̃,ˈpɐ̃w̃,ˈpɐ̃,ˈpɐ̃w̃,ˈpɐ̃w̃,ˈpɐ̃,1,1,1,1,Final,Final,0,1,0,1,,pão,bread,Bandeira2017[366-412],
Fa d’Ambo,ˈsalu,ˈsaɫ,ˈsa.lu,ˈsaɫ,ˈsaɫ,ˈsa,2,1,1,1,Initial,Final,0,lu,0,-,,sal,salt,Bandeira2017[366-412],
Fa d’Ambo,ˈsalu,ˈsaɫ,ˈsa.lu,ˈsaɫ,-,lu,2,1,2,-,Final,-,ˈsa,2,ˈsaɫ,-,,sal,salt,Bandeira2017[366-412],
Fa d’Ambo,ˈsukulu,ɐˈsukaɾ,ˈsu.ku.lu,ɐ.ˈsu.kaɾ,ɐ,-,3,3,-,1,-,Initial,0,ˈsu,0,ˈsu,,açúcar,sugar,Bandeira2017[366-412],
Fa d’Ambo,ˈsukulu,ɐˈsukaɾ,ˈsu.ku.lu,ɐ.ˈsu.kaɾ,ˈsu,ˈsu,3,3,1,2,Initial,Medial,-,ku,ɐ,kaɾ,,açúcar,sugar,Bandeira2017[366-412],
Fa d’Ambo,ˈsukulu,ɐˈsukaɾ,ˈsu.ku.lu,ɐ.ˈsu.kaɾ,kaɾ,ku,3,3,2,3,Medial,Final,ˈsu,lu,ˈsu,,,açúcar,sugar,Bandeira2017[366-412],
Fa d’Ambo,ˈsukulu,ɐˈsukaɾ,ˈsu.ku.lu,ɐ.ˈsu.kaɾ,,lu,3,3,3,-,Final,-,ku,3,kaɾ,-,,açúcar,sugar,Bandeira2017[366-412],
Fa d’Ambo,ˈtiligu,ˈtɾigu,ˈti.li.gu,ˈtɾi.gu,ˈtɾi,ˈti,3,2,1,1,Initial,Initial,0,li,0,-,,trigo,wheat,Bandeira2017[366-412],
Fa d’Ambo,ˈtiligu,ˈtɾigu,ˈti.li.gu,ˈtɾi.gu,-,li,3,2,2,-,Medial,-,ˈti,gu,ˈtɾi,gu,,trigo,wheat,Bandeira2017[366-412],
Fa d’Ambo,ˈtiligu,ˈtɾigu,ˈti.li.gu,ˈtɾi.gu,gu,gu,3,2,3,2,Final,Final,li,3,-,2,,trigo,wheat,Bandeira2017[366-412],
Fa d’Ambo,ˈzete,ɐˈzɐjtɨ,ˈze.te,ɐ.ˈzɐj.tɨ,ɐ,-,2,3,-,1,-,Initial,0,ˈze,0,ˈzɐj,,azeite,olive oil,Bandeira2017[366-412],
Fa d’Ambo,ˈzete,ɐˈzɐjtɨ,ˈze.te,ɐ.ˈzɐj.tɨ,ˈzɐj,ˈze,2,3,1,2,Initial,Medial,-,te,ɐ,tɨ,,azeite,olive oil,Bandeira2017[366-412],
Fa d’Ambo,ˈzete,ɐˈzɐjtɨ,ˈze.te,ɐ.ˈzɐj.tɨ,tɨ,te,2,3,2,3,Final,Final,ˈze,2,ˈzɐj,3,,azeite,olive oil,Bandeira2017[366-412],
Fa d’Ambo,ˈaza,ˈazɐ,ˈa.za,ˈa.zɐ,ˈa,ˈa,2,2,1,1,Initial,Initial,0,za,0,zɐ,,asa,wing,Bandeira2017[366-412],
Fa d’Ambo,ˈaza,ˈazɐ,ˈa.za,ˈa.zɐ,zɐ,za,2,2,2,2,Final,Final,ˈa,2,ˈa,2,,asa,wing,Bandeira2017[366-412],
Fa d’Ambo,ˈxama,ɨʃˈkɐmɐ,ˈxa.ma,ɨʃ.ˈkɐ.mɐ,ɨʃ,-,2,3,-,1,-,Initial,0,xa,0,ˈkɐ,,escama de peixe,fish scale,Bandeira2017[366-412],
Fa d’Ambo,ˈxama,ɨʃˈkɐmɐ,ˈxa.ma,ɨʃ.ˈkɐ.mɐ,ˈkɐ,xa,2,3,1,2,Initial,Medial,-,ma,ɨʃ,mɐ,,escama de peixe,fish scale,Bandeira2017[366-412],
Fa d’Ambo,ˈxama,ɨʃˈkɐmɐ,ˈxa.ma,ɨʃ.ˈkɐ.mɐ,mɐ,ma,2,3,2,3,Final,Final,xa,2,ˈkɐ,3,,escama de peixe,fish scale,Bandeira2017[366-412],
Fa d’Ambo,ˈxõ,ˈkoɾnu,ˈxõ,ˈkoɾ.nu,ˈkoɾ,xõ,1,2,1,1,Final,Initial,0,-,0,nu,,corno,horn,Bandeira2017[366-412],
Fa d’Ambo,ˈxõ,ˈkoɾnu,ˈxõ,ˈkoɾ.nu,nu,-,1,2,-,2,-,Final,xõ,-,ˈkoɾ,2,,corno,horn,Bandeira2017[366-412],
Fa d’Ambo,ˈlabu,ˈʀabu,ˈla.bu,ˈʀa.bu,ˈʀa,ˈla,2,2,1,1,Initial,Initial,0,bu,0,bu,,rabo,tail,Bandeira2017[366-412],
Fa d’Ambo,ˈlabu,ˈʀabu,ˈla.bu,ˈʀa.bu,bu,bu,2,2,2,2,Final,Final,ˈla,2,ˈʀa,2,,rabo,tail,Bandeira2017[366-412],
Fa d’Ambo,ˈawad̠ʒiˈbɔxa,ˈagwɐ.dɨ.ˈbokɐ,ˈa.wa.d̠ʒi.ˈbɔ.xa,ˈa.gwɐ.dɨˈbo.kɐ,ˈa,ˈa,5,2,1,1,Initial,Initial,0,wa,0,gwɐ,,água de boca,saliva,Bandeira2017[366-412],
Fa d’Ambo,ˈawad̠ʒiˈbɔxa,ˈagwɐ.dɨ.ˈbokɐ,ˈa.wa.d̠ʒi.ˈbɔ.xa,ˈa.gwɐ.dɨˈbo.kɐ,gwɐ,wa,5,2,2,2,Medial,Final,ˈa,d̠ʒi,ˈa,dɨ,,água de boca,saliva,Bandeira2017[366-412],
Fa d’Ambo,ˈawad̠ʒiˈbɔxa,ˈagwɐ.dɨ.ˈbokɐ,ˈa.wa.d̠ʒi.ˈbɔ.xa,ˈa.gwɐ.dɨˈbo.kɐ,dɨ,d̠ʒi,5,2,3,3,Medial,Medial,wa,ˈbɔ,gwɐ,ˈbo,,água de boca,saliva,Bandeira2017[366-412],
Fa d’Ambo,ˈawad̠ʒiˈbɔxa,ˈagwɐ.dɨ.ˈbokɐ,ˈa.wa.d̠ʒi.ˈbɔ.xa,ˈa.gwɐ.dɨˈbo.kɐ,ˈbo,ˈbɔ,5,2,4,4,Medial,Medial,d̠ʒi,xa,dɨ,kɐ,,água de boca,saliva,Bandeira2017[366-412],
Fa d’Ambo,ˈawad̠ʒiˈbɔxa,ˈagwɐ.dɨ.ˈbokɐ,ˈa.wa.d̠ʒi.ˈbɔ.xa,ˈa.gwɐ.dɨˈbo.kɐ,kɐ,xa,5,2,5,5,Final,Medial,ˈbɔ,5,ˈbo,5,,água de boca,saliva,Bandeira2017[366-412],
Fa d’Ambo,ˈbɛga,bɐˈʀigɐ,ˈbɛ.ga,bɐ.ˈʀi.gɐ,bɐ,ˈbɛ,2,3,1,1,Initial,Initial,0,-,0,ˈʀi,,barriga,belly,Bandeira2017[366-412],
