Language,SourceWord,SourceWord CV,TargetWord,SourceWordSyl,TargetWordSyl,SourceWordSyllabe,TargetWordSyllabe,PositionSource,PositionTarget,Process,TargetOrthography,Translation,References,Notes
Principense,ɔˈtɔ̃t̠ʃi,V'CVCV,ɐ̃tiˈõtɐ̃j̃,ɔ.ˈtɔ̃.t̠ʃi,ɐ̃.ti.ˈõ.tɐ̃j̃,-,ˈõ,-,3,,anteontem,the day before yesterday,Bandeira2017[366-412],
Principense,ɔˈtɔ̃t̠ʃi,V'CVCV,ɐ̃tiˈõtɐ̃j̃,ɔ.ˈtɔ̃.t̠ʃi,ɐ̃.ti.ˈõ.tɐ̃j̃,t̠ʃi,tɐ̃j̃,3,4,,anteontem,the day before yesterday,Bandeira2017[366-412],
Principense,deˈzẽbu,CV'CVCV,dɨˈzẽbɾu,de.ˈzẽ.bu,dɨ.ˈzẽ.bɾu,de,dɨ,1,1,,dezembro,December,Bandeira2017[366-412],
Principense,deˈzẽbu,CV'CVCV,dɨˈzẽbɾu,de.ˈzẽ.bu,dɨ.ˈzẽ.bɾu,ˈzẽ,ˈzẽ,2,2,,dezembro,December,Bandeira2017[366-412],
Principense,deˈzẽbu,CV'CVCV,dɨˈzẽbɾu,de.ˈzẽ.bu,dɨ.ˈzẽ.bɾu,bu,bɾu,3,3,,dezembro,December,Bandeira2017[366-412],
Principense,ˈdja,CGV,diˈa,ˈdja,di.ˈa,ˈdja,di,1,1,metathesis,dia,day,Bandeira2017[366-412],
Principense,ˈdja,CGV,diˈa,ˈdja,di.ˈa,-,ˈa,-,2,,dia,day,Bandeira2017[366-412],
Principense,djaˈdĩgu,CGV'CVCV,duˈmĩgu,dja.ˈdĩ.gu,du.ˈmĩ.gu,dja,du,1,1,,domingo,sunday,Bandeira2017[366-412],
Principense,djaˈdĩgu,CGV'CVCV,duˈmĩgu,dja.ˈdĩ.gu,du.ˈmĩ.gu,ˈdĩ,ˈmĩ,2,2,,domingo,sunday,Bandeira2017[366-412],
Principense,djaˈdĩgu,CGV'CVCV,duˈmĩgu,dja.ˈdĩ.gu,du.ˈmĩ.gu,gu,gu,3,3,,domingo,sunday,Bandeira2017[366-412],
Principense,feveˈrew,CVCV'CVG,fɨvɨˈɾejɾu,fe.ve.ˈrew,fɨ.vɨ.ˈɾej.ɾu,fe,fɨ,1,1,metathesis,fevereiro,February,Bandeira2017[366-412],
Principense,feveˈrew,CVCV'CVG,fɨvɨˈɾejɾu,fe.ve.ˈrew,fɨ.vɨ.ˈɾej.ɾu,ve,vɨ,2,2,,feveiro,February,Bandeira2017[366-412],
Principense,feveˈrew,CVCV'CVG,fɨvɨˈɾejɾu,fe.ve.ˈrew,fɨ.vɨ.ˈɾej.ɾu,-,ˈɾej,-,3,,fevereiro ,February,Bandeira2017[366-412],
Principense,feveˈrew,CVCV'CVG,fɨvɨˈɾejɾu,fe.ve.ˈrew,fɨ.vɨ.ˈɾej.ɾu,ˈrew,ɾu,3,4,,fevereiro,February,Bandeira2017[366-412],
Principense,ˈkĩtɐˈfja,CVCV'CGV,ˈkĩtɐ ˈfɐjɾɐ,ˈkĩ.tɐ.ˈfja,ˈkĩ.tɐ ˈfɐj.ɾɐ,ˈkĩ,ˈkĩ,1,1,metathesis,quinta-feira,thursday,Bandeira2017[366-412],
Principense,ˈkĩtɐˈfja,CVCV'CGV,ˈkĩtɐ ˈfɐjɾɐ,ˈkĩ.tɐ.ˈfja,ˈkĩ.tɐ ˈfɐj.ɾɐ,tɐ,tɐ,2,2,,quinta-feira,thursday,Bandeira2017[366-412],
Principense,ˈkĩtɐˈfja,CVCV'CGV,ˈkĩtɐ ˈfɐjɾɐ,ˈkĩ.tɐ.ˈfja,ˈkĩ.tɐ ˈfɐj.ɾɐ,-,ˈfɐj,-,3,,quinta-feira,thursday,Bandeira2017[366-412],
