Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllabe,PreviousSource,NextSource,TargetSyllabe,SourceWordSyl,TargetWordSyl,PositionSource,PositionTarget,SimplePositionSource,SimplePositionTarget,Process,TargetOrthopraphy,Translation,Reference
Sri Lanka Portuguese,muɾa,muˈʀeɾ,mu.ɾa,mu.ˈʀeɾ,ɾa,mu,2,ˈʀeɾ,2,2,2,2,Final,Final,,morrer,die,Clements2012[37-41]
Sri Lanka Portuguese,su:j,ˈsuʒu,su:j,ˈsu.ʒu,su:j,0,-,ˈsu,1,2,1,1,Final,Initial,,sujo,dust,Clements2012[37-41]
Sri Lanka Portuguese,su:j,ˈsuʒu,su:j,ˈsu.ʒu,-,su:j,1,ʒu,1,2,-,2,-,Final,,sujo,dust,Clements2012[37-41]
Sri Lanka Portuguese,kat̠ʃo:ɾu,kɐˈʃoʀu,ka.t̠ʃo.:ɾu,kɐ.ˈʃo.ʀu,ka,0,t̠ʃo:,kɐ,3,3,1,1,Initial,Initial,,cachorro,dog,Clements2012[37-41]
Sri Lanka Portuguese,kat̠ʃo:ɾu,kɐˈʃoʀu,ka.t̠ʃo.:ɾu,kɐ.ˈʃo.ʀu,t̠ʃo:,ka,ɾu,ˈʃo,3,3,2,2,Medial,Medial,,cachorro,dog,Clements2012[37-41]
Sri Lanka Portuguese,kat̠ʃo:ɾu,kɐˈʃoʀu,ka.t̠ʃo.:ɾu,kɐ.ˈʃo.ʀu,ɾu,t̠ʃo:,3,ʀu,3,3,3,3,Final,Final,,cachorro,dog,Clements2012[37-41]
Sri Lanka Portuguese,beʋa,bɨˈbeɾ,be.ʋa,bɨ.ˈbeɾ,be,0,ʋa,bɨ,2,2,1,1,Initial,Initial,,beber,drink (v.),Clements2012[37-41]
Sri Lanka Portuguese,beʋa,bɨˈbeɾ,be.ʋa,bɨ.ˈbeɾ,ʋa,be,2,ˈbeɾ,2,2,2,2,Final,Final,,beber,drink (v.),Clements2012[37-41]
Sri Lanka Portuguese,sɛ:ku,ˈseku,sɛ:.ku,ˈse.ku,sɛ:,0,ku,ˈse,2,2,1,1,Initial,Initial,,seco,dry,Clements2012[37-41]
Sri Lanka Portuguese,sɛ:ku,ˈseku,sɛ:.ku,ˈse.ku,ku,sɛ:,2,ku,2,2,2,2,Final,Final,,seco,dry,Clements2012[37-41]
Sri Lanka Portuguese,bɾɔm,ˈʀõbu,bɾɔm,ˈʀõ.bu,bɾɔm,0,-,ˈʀõ,1,2,1,1,Final,Initial,,rombo,dull,Clements2012[37-41]
Sri Lanka Portuguese,bɾɔm,ˈʀõbu,bɾɔm,ˈʀõ.bu,-,bɾɔm,1,bu,1,2,-,2,-,Final,,rombo,dull,Clements2012[37-41]
Sri Lanka Portuguese,pɔ,ˈpɔ,pɔ,ˈpɔ,pɔ,0,1,ˈpɔ,1,1,1,1,Final,Final,,pó,dust,Clements2012[37-41]
Sri Lanka Portuguese,oʋi:du,oˈvidu,o.ʋi:.du,o.ˈvi.du,o,0,ʋi:,oˈ,3,3,1,1,Initial,Initial,,ouvido,ear,Clements2012[37-41]
Sri Lanka Portuguese,oʋi:du,oˈvidu,o.ʋi:.du,o.ˈvi.du,ʋi:,o,du,vi,3,3,2,2,Medial,Medial,,ouvido,ear,Clements2012[37-41]
Sri Lanka Portuguese,oʋi:du,oˈvidu,o.ʋi:.du,o.ˈvi.du,du,ʋi:,3,du,3,3,3,3,Final,Final,,ouvido,ear,Clements2012[37-41]
Sri Lanka Portuguese,oɾe:ja,oˈɾeʎɐ,o.ɾe.:ja,o.ˈɾe.ʎɐ,o,0,ɾe:,oˈ,3,3,1,1,Initial,Initial,,orelha,ear,Clements2012[37-41]
Sri Lanka Portuguese,oɾe:ja,oˈɾeʎɐ,o.ɾe.:ja,o.ˈɾe.ʎɐ,ɾe:,o,ja,ɾe,3,3,2,2,Medial,Medial,,orelha,ear,Clements2012[37-41]
Sri Lanka Portuguese,oɾe:ja,oˈɾeʎɐ,o.ɾe.:ja,o.ˈɾe.ʎɐ,ja,ɾe:,3,ʎɐ,3,3,3,3,Final,Final,,orelha,ear,Clements2012[37-41]
Sri Lanka Portuguese,tɛ:ɾa,ˈtɛʀɐ,tɛ.:ɾa,ˈtɛ.ʀɐ,tɛ:,0,ɾa,ˈtɛ,2,2,1,1,Initial,Initial,,terra,earth,Clements2012[37-41]
Sri Lanka Portuguese,tɛ:ɾa,ˈtɛʀɐ,tɛ.:ɾa,ˈtɛ.ʀɐ,ɾa,tɛ:,2,ˈʀɐ,2,2,2,2,Final,Final,,terra,earth,Clements2012[37-41]
