Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,SourceTargetEq,Audit,SourceWordSyl Length,TargetWordSyl Length,PositionSource,PositionTarget,Simple PositionSource,Simple PositionTarget,Previous source,Next source,Previous target,Next target,Process,TargetOrthography,Translation,Reference
Angolar,ˈfigadu,ˈfiɡɐdu,ˈfi.ga.du,ˈfi.ɡɐ.du,fi,fi,TRUE,,,,1,1,,,,,,,,fígado,liver,Bandeira2017[366-412]
Angolar,ˈfigadu,ˈfiɡɐdu,ˈfi.ga.du,ˈfi.ɡɐ.du,ga,ɡɐ,FALSE,,3,3,2,2,Medial,Medial,ˈfi,du,ˈfi,du,,fígado,liver,Bandeira2017[366-412]
Angolar,ˈfigadu,ˈfiɡɐdu,ˈfi.ga.du,ˈfi.ɡɐ.du,du,du,TRUE,,,,3,3,,,,,,,,fígado,liver,Bandeira2017[366-412]
Angolar,ˈfigadu,ˈfiɡɐdu,ˈfi.ga.du,ˈfi.ɡɐ.du,du,du,TRUE,,3,3,3,3,Final,Final,ga,3,ɡɐ,3,,fígado,liver,Bandeira2017[366-412]
Angolar,kaˈbelu,kɐˈbelu,kaˈ.be.lu,kɐˈ.belu,kɐ,kɐ,TRUE,,,,1,1,,,,,,,,cabelo,hair,Bandeira2017[366-412]
Angolar,kaˈbelu,kɐˈbelu,kaˈ.be.lu,kɐˈ.belu,ka,kɐ,FALSE,,3,2,1,1,Initial,Initial,0,be,0,be,,cabelo,hair,Bandeira2017[366-412]
Angolar,kaˈbelu,kɐˈbelu,kaˈ.be.lu,kɐˈ.belu,lu,lu,TRUE,,,,3,3,,,,,,,,cabelo,hair,Bandeira2017[366-412]
Angolar,kaˈbelu,kɐˈbelu,kaˈ.be.lu,kɐˈ.belu,be,be,TRUE,,3,2,2,2,Medial,Final,kaˈ,lu,kɐˈ,lu,,cabelo,hair,Bandeira2017[366-412]
Angolar,kaˈbelu,kɐˈbelu,kaˈ.be.lu,kɐˈ.belu,lu,lu,TRUE,,3,2,3,3,Final,Medial,be,3,be,3,,cabelo,hair,Bandeira2017[366-412]
Angolar,ˈnte,ˈfɾõtɨ,ˈn.te,ˈfɾõ.tɨ,n,fɾõ,FALSE,,2,2,1,1,Initial,Initial,0,te,0,tɨ,,fronte,head,Bandeira2017[366-412]
Angolar,ˈnte,ˈfɾõtɨ,ˈn.te,ˈfɾõ.tɨ,te,tɨ,FALSE,,2,2,2,2,Final,Final,ˈn,2,ˈfɾõ,2,,fronte,head,Bandeira2017[366-412]
Angolar,kɔˈθɔ,kuɾɐˈsɐ̃w̃,kɔ.ˈθɔ,ku.ɾɐ.ˈsɐ̃w̃,kɔ,ku,FALSE,,2,3,1,1,Initial,Initial,0,-,0,ɾɐ,,coração,heart,Bandeira2017[366-412]
Angolar,kɔˈθɔ,kuɾɐˈsɐ̃w̃,kɔ.ˈθɔ,ku.ɾɐ.ˈsɐ̃w̃,-,ɾɐ,FALSE,,2,3,-,2,-,Medial,kɔ,ˈθɔ,ku,ˈsɐ̃w̃,,coração,heart,Bandeira2017[366-412]
