Angolar,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,,,,,SourceWordLength,TargetWordLength,SourceWordSyl,TargetWordSyl,WordDiff,WordBigger,SyllDiff,SyllBigger
Angolar,pũˈbelu,pɾiˈmɐjɾu,pũ.ˈbe.lu,pɾi.ˈmɐj.ɾu,,,,,7,8,3,3,-1,Target,0,Equal
Angolar,ˈθamanu,ˈsejʃ,ˈθa.ma.nu,ˈse.jʃ,,,,,6,4,3,2,2,Source,1,Source
Angolar,ˈθabadi,ˈsɛtɨ,ˈθa.ba.di,ˈse.tɨ,,,,,6,4,3,2,2,Source,1,Source
Angolar,ˈtelu,ĩˈtejɾu,ˈte.lu,ĩ.ˈtej.ɾu,,,,,4,6,2,3,-2,Target,-1,Target
Angolar,ˈũa,ˈumɐ,ˈũa,ˈu.mɐ,,,,,3,3,1,2,0,Equal,-1,Target
Angolar,ˈnake,ˈojtu,ˈna.ke,ˈoj.tu,,,,,4,4,2,2,0,Equal,0,Equal
Angolar,aˈbi,aˈbɾiw,a.ˈbi,a.ˈbɾiw,,,,,3,5,2,2,-2,Target,0,Equal
Angolar,aˈgoso,aˈɡɔʃtu,a.ˈgo.so,a.ˈɡɔʃ.tu,,,,,5,6,3,3,-1,Target,0,Equal
Angolar,mũˈgu,ɐmɐˈɲɐ̃,mũ.ˈgu,ɐ.mɐ.ˈɲɐ̃,,,,,5,6,2,3,-1,Target,-1,Target
Angolar,maˈðoiˈna,ɐ̃tiˈõtɐ̃j,ma.ˈðoi.ˈna,ɐ̃.ti.ˈõ.tɐ̃j,,,,,7,10,3,4,-3,Target,-1,Target
Angolar,deˈðẽbu,dɘˈzẽbɾu,de.ˈðẽ.bu,dɘ.ˈzẽ.bɾu,,,,,7,8,3,3,-1,Target,0,Equal
Angolar,ˈdja,ˈdiɐ,ˈdj.a,ˈdi.ɐ,,,,,3,3,2,2,0,Equal,0,Equal
Angolar,djaˈdĩgu,duˈmĩgu,dja.ˈdĩ.gu,du.ˈmĩ.gu,,,,,8,7,3,3,1,Source,0,Equal
Angolar,feveˈlelu,fɨvɨˈɾejɾu,fe.ve.ˈle.lu,fɨ.vɨ.ˈɾej.ɾu,,,,,8,9,4,4,-1,Target,0,Equal
Angolar,ˈθabadu,ˈsabɐdu,ˈθa.ba.du,ˈsa.bɐ.du,,,,,6,6,3,3,0,Equal,0,Equal
Angolar,ˈθɛdu,ˈsedu,ˈθɛ.du,ˈse.du,,,,,4,4,2,2,0,Equal,0,Equal
Angolar,θɛˈtɛ̃bu,sɨˈtẽbɾu,θɛ.ˈtɛ̃.bu,sɨ.ˈtẽ.bɾu,,,,,7,8,3,3,-1,Target,0,Equal
Angolar,ðaˈnelu,ʒɐˈnejɾu,ða.ˈne.lu,ʒɐ.ˈnej.ɾu,,,,,6,7,3,3,-1,Target,0,Equal
Angolar,ˈðulu,ˈʒuʎu,ˈðu.lu,ˈʒu.ʎu,,,,,4,4,2,2,0,Equal,0,Equal
