Language,SourceWord,TargetWord,source word syl,target word syl,SourceSyllable,TargetSyllable,PositionSource,Position Target, SourceWord,TargetOrthography,Translation,Referenc e,Notes
Diu,kuɾəsãw,kuɾɐˈsɐ̃w̃,ku.ɾə.sãw,ku.ɾɐ.ˈsɐ̃w̃,sãw,sɐ̃w̃,3,3,CVCVCVC,coração,heart,Clements2012[37-41],
Diu,pezad,pɨ.ˈza.du,pe.za.d,pɨ.ˈza.du,pe,pɨ,1,1,CVCVC,pesado,heavy,Clements2012[37-41],
Diu,pezad,pɨ.ˈza.du,pe.za.d,pɨ.ˈza.du,za,za,2,2,CVCVC,pesado,heavy,Clements2012[37-41],
Diu,pezad,pɨ.ˈza.du,pe.za.d,pɨ.ˈza.du,d,du,3,3,CVCVC,pesado,heavy,Clements2012[37-41],
Diu,aki,ɐ.ˈki,aki,ɐ.ˈki,aki,ɐ,1,1,VCV,aqui,here,Clements2012[37-41],
Diu,aki,ɐ.ˈki,aki,ɐ.ˈki,-,ki,-,2,VCV,aqui,here,Clements2012[37-41],
Diu,bate,bɐ.ˈteɾ,ba.te,bɐ.ˈteɾ,ba,bɐ,1,1,CVCV,bater,hit,Clements2012[37-41],
Diu,bate,bɐ.ˈteɾ,ba.te,bɐ.ˈteɾ,te,teɾ,2,2,CVCV,bater,hit,Clements2012[37-41],
Diu,tuma,tu.ˈmaɾ,tu.ma,tu.ˈmaɾ,tu,tu,1,1,CVCV,tomar,hold (take),Clements2012[37-41],
Diu,tuma,tu.ˈmaɾ,tu.ma,tu.ˈmaɾ,ma,maɾ,2,2,CVCV,tomar,hold (take),Clements2012[37-41],
Diu,lɛʋa,lɨˈvaɾ,lɛ.ʋa,lɨ.ˈvaɾ,lɛ,lɨ,1,1,CVCV,levar,hold (take),Clements2012[37-41],
Diu,lɛʋa,lɨˈvaɾ,lɛ.ʋa,lɨ.ˈvaɾ,ʋa,vaɾ,2,2,CVCV,levar,hold (take),Clements2012[37-41],
Diu,t̠ʃif,ˈʃi.fɾɨ,t̠ʃi.f,ˈʃi.fɾɨ,t̠ʃi,ˈʃi,1,1,CCVC,chifre,horn,Clements2012[37-41],
Diu,t̠ʃif,ˈʃi.fɾɨ,t̠ʃi.f,ˈʃi.fɾɨ,f,fɾɨ,2,2,CCVC,chifre,horn,Clements2012[37-41],
Diu,kom,ˈkomu,kom,ˈko.mu,kom,ˈko,1,1,CVC,como,how,Clements2012[37-41],
Diu,kom,ˈkomu,kom,ˈko.mu,-,mu,-,2,CVC,como,how,Clements2012[37-41],
Diu,ɔm,ˈo.mɐ̃j,ɔm,ˈo.mɐ̃j,ɔm,ˈo,1,1,VC,homem,husband,Clements2012[37-41],
Diu,ɔm,ˈo.mɐ̃j,ɔm,ˈo.mɐ̃j,-,mɐ̃j,-,2,VC,homem,husband,Clements2012[37-41],
Diu,jo,ˈew,jo,ˈew,jo,ˈew,1,1,CV,eu,husband,Clements2012[37-41],
Diu,d̠ʒel,ˈʒelu,d̠ʒe.l,ˈʒe.lu,d̠ʒe,ˈʒe,1,1,CCVC,gelo,ice,Clements2012[37-41],
Diu,d̠ʒel,ˈʒelu,d̠ʒe.l,ˈʒe.lu,l,lu,2,2,CCVC,gelo,ice,Clements2012[37-41],
Diu,si,sɨ,si,sɨ,si,sɨ,1,1,CV,se,if,Clements2012[37-41],
Diu,dɛ̃t,ˈdẽ.tɾu,dɛ̃t,ˈdẽ.tɾu,dɛ̃t,ˈdẽ,1,1,CVC,dentro,inside,Clements2012[37-41],
Diu,dɛ̃t,ˈdẽ.tɾu,dɛ̃t,ˈdẽ.tɾu,-,tɾu,-,2,CVC,dentro,inside,Clements2012[37-41],
