Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,SourceWordSyl Length,TargetWordSyl Length,Source word length,Target word length,SourceWordSyl length,TargetWordSyl length,Word diff,Word bigger,Syll diff,SylNum bigger,Encontra espaço branco
,aɾea,ɐˈɾɐjɐ,a.ɾe.a,ɐ.ˈɾɐj.ɐ,ɾe,ˈɾɐj,3,3,4,5,3,3,-1,Target,0,Equal,#VALUE!
,aɾea,ɐˈɾɐjɐ,a.ɾe.a,ɐ.ˈɾɐj.ɐ,a,ɐ,3,3,4,5,3,3,-1,Target,0,Equal,#VALUE!
,dze,diˈzeɾ,dze,di.ˈzeɾ,dze,di,1,2,3,5,1,2,-2,Target,-1,Target,#VALUE!
,dze,diˈzeɾ,dze,di.ˈzeɾ,-,ˈzeɾ,1,2,3,5,1,2,-2,Target,-1,Target,#VALUE!
,kosa,kuˈsaɾ,ko.sa,ku.ˈsaɾ,ko,ku,2,2,4,5,2,2,-1,Target,0,Equal,#VALUE!
,kosa,kuˈsaɾ,ko.sa,ku.ˈsaɾ,sa,ˈsaɾ,2,2,4,5,2,2,-1,Target,0,Equal,#VALUE!
,maɾ,ˈmaɾ,maɾ,ˈmaɾ,maɾ,ˈmaɾ,1,1,3,3,1,1,0,Equal,0,Equal,#VALUE!
,oja,ɔˈʎaɾ,oj.a,ɔ.ˈʎaɾ,o,ɔ,2,2,3,4,2,2,-1,Target,0,Equal,#VALUE!
,oja,ɔˈʎaɾ,oj.a,ɔ.ˈʎaɾ,ja,ˈʎaɾ,2,2,3,4,2,2,-1,Target,0,Equal,#VALUE!
,spia,iʃˈpiaɾ,s.pi.a,iʃ.ˈpi.aɾ,s,iʃ,3,3,4,6,3,3,-2,Target,0,Equal,#VALUE!
,spia,iʃˈpiaɾ,s.pi.a,iʃ.ˈpi.aɾ,pi,ˈpi,3,3,4,6,3,3,-2,Target,0,Equal,#VALUE!
,spia,iʃˈpiaɾ,s.pi.a,iʃ.ˈpi.aɾ,a,aɾ,3,3,4,6,3,3,-2,Target,0,Equal,#VALUE!
,sment,sɨˈmẽtɨ,s.men.t,sɨ.ˈmẽ.tɨ,s,sɨ,3,3,5,6,3,3,-1,Target,0,Equal,#VALUE!
,sment,sɨˈmẽtɨ,s.men.t,sɨ.ˈmẽ.tɨ,men,ˈmẽ,3,3,5,6,3,3,-1,Target,0,Equal,#VALUE!
,sment,sɨˈmẽtɨ,s.men.t,sɨ.ˈmẽ.tɨ,t,tɨ,3,3,5,6,3,3,-1,Target,0,Equal,#VALUE!
,kozɛ,kuˈzeɾ,ko.zɛ,ku.ˈzeɾ,ko,ku,2,2,4,5,2,2,-1,Target,0,Equal,#VALUE!
,kozɛ,kuˈzeɾ,ko.zɛ,ku.ˈzeɾ,zɛ,ˈzeɾ,2,2,4,5,2,2,-1,Target,0,Equal,#VALUE!
,molɔd,ɐmuˈɫadu,mol.ɔ.d,ɐ.mu.ˈɫa.du,-,ɐ,3,4,5,7,3,4,-2,Target,-1,Target,#VALUE!
,molɔd,ɐmuˈɫadu,mol.ɔ.d,ɐ.mu.ˈɫa.du,mol,mu,3,4,5,7,3,4,-2,Target,-1,Target,#VALUE!
,molɔd,ɐmuˈɫadu,mol.ɔ.d,ɐ.mu.ˈɫa.du,ɔ,ˈɫa,3,4,5,7,3,4,-2,Target,-1,Target,#VALUE!
,molɔd,ɐmuˈɫadu,mol.ɔ.d,ɐ.mu.ˈɫa.du,d,du,3,4,5,7,3,4,-2,Target,-1,Target,#VALUE!
,piknin,pɨkɨˈninu,pik.nin,pɨ.kɨ.ˈni.nu,pik,pɨ,2,4,6,8,2,4,-2,Target,-2,Target,#VALUE!
,piknin,pɨkɨˈninu,pik.nin,pɨ.kɨ.ˈni.nu,-,kɨ,2,4,6,8,2,4,-2,Target,-2,Target,#VALUE!
,piknin,pɨkɨˈninu,pik.nin,pɨ.kɨ.ˈni.nu,nin,ˈni,2,4,6,8,2,4,-2,Target,-2,Target,#VALUE!
,piknin,pɨkɨˈninu,pik.nin,pɨ.kɨ.ˈni.nu,-,nu,2,4,6,8,2,4,-2,Target,-2,Target,#VALUE!
,kuɾt,ˈkuɾtu,kuɾ.t,ˈkuɾ.tu,kuɾ,ˈkuɾ,2,2,4,5,2,2,-1,Target,0,Equal,#VALUE!
,kuɾt,ˈkuɾtu,kuɾ.t,ˈkuɾ.tu,t,tu,2,2,4,5,2,2,-1,Target,0,Equal,#VALUE!
,kanta,kɐ̃ˈtaɾ,kan.ta,kɐ̃.ˈtaɾ,kan,kɐ̃,2,2,5,6,2,2,-1,Target,0,Equal,#VALUE!
,kanta,kɐ̃ˈtaɾ,kan.ta,kɐ̃.ˈtaɾ,ta,ˈtaɾ,2,2,5,6,2,2,-1,Target,0,Equal,#VALUE!
,senta,sẽˈtaɾ,sen.ta,sẽ.ˈtaɾ,sen,sẽ,2,2,5,6,2,2,-1,Target,0,Equal,#VALUE!
,senta,sẽˈtaɾ,sen.ta,sẽ.ˈtaɾ,ta,ˈtaɾ,2,2,5,6,2,2,-1,Target,0,Equal,#VALUE!
,pel,ˈpɛlɨ,pel,ˈpɛ.lɨ,pel,ˈpɛ,1,2,3,4,1,2,-1,Target,-1,Target,#VALUE!
,pel,ˈpɛlɨ,pel,ˈpɛ.lɨ,-,lɨ,1,2,3,4,1,2,-1,Target,-1,Target,#VALUE!
,sɛu,ˈsɛw,sɛu,ˈsɛw,sɛu,ˈsɛw,1,1,3,3,1,1,0,Equal,0,Equal,#VALUE!
,konʃe,kuɲɨˈseɾ,kon.ʃe,ku.ɲɨ.ˈseɾ,kon,ku,2,3,5,7,2,3,-2,Target,-1,Target,#VALUE!
,konʃe,kuɲɨˈseɾ,kon.ʃe,ku.ɲɨ.ˈseɾ,-,ɲɨ,2,3,5,7,2,3,-2,Target,-1,Target,#VALUE!
