Language,SourceWord,SourceWord CV,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,PositionSource,PositionTarget,Process,TemplateSource,TemplateTarget,TargetOrthography,Translation,Reference,Notes
Cape Verdean Sao Vicente,dɾet,CCVC,diˈɾɐjtu,dɾe.t,di.ˈɾɐj.tu,dɾe,di,1,1,,CCV,CV,direito,right,Baptista2019[271-277],
Cape Verdean Sao Vicente,dɾet,CCVC,diˈɾɐjtu,dɾe.t,di.ˈɾɐj.tu,-,ˈɾɐj,-,2,,-,CVg,direito,right,Baptista2019[271-277],
Cape Verdean Sao Vicente,dɾet,CCVC,diˈɾɐjtu,dɾe.t,di.ˈɾɐj.tu,t,tu,2,3,,C,CV,direito,right,Baptista2019[271-277],
Cape Verdean Sao Vicente,dɾeita,CCVgCV,diˈɾɐjtɐ,dɾej.ta,di.ˈɾɐj.tɐ,-,di,-,1,,-,CV,direita,right hand,Baptista2019[271-277],
Cape Verdean Sao Vicente,dɾeita,CCVgCV,diˈɾɐjtɐ,dɾej.ta,di.ˈɾɐj.tɐ,dɾej,ˈɾɐj,1,2,,CCVg,CVg,direita,right hand,Baptista2019[271-277],
Cape Verdean Sao Vicente,dɾeita,CCVgCV,diˈɾɐjtɐ,dɾej.ta,di.ˈɾɐj.tɐ,ta,tɐ,2,3,metathesis,CV,CV,direita,right hand,Baptista2019[271-277],
Cape Verdean Sao Vicente,ɾiu,CVg,ˈʀiu,ɾiu,ˈʀiu,ɾiu,ˈʀiu,1,1,,CVg,CVg,rio,river,Baptista2019[271-277],
Cape Verdean Sao Vicente,stɾada,CCCVCV,iʃˈtɾadɐ,stɾa.da,iʃ.ˈtɾa.dɐ,-,iʃ,-,1,,-,VC,estrada,road,Baptista2019[271-277],
Cape Verdean Sao Vicente,stɾada,CCCVCV,iʃˈtɾadɐ,stɾa.da,iʃ.ˈtɾa.dɐ,stɾa,ˈtɾa,1,2,,CCCV,CCV,estrada,road,Baptista2019[271-277],
Cape Verdean Sao Vicente,stɾada,CCCVCV,iʃˈtɾadɐ,stɾa.da,iʃ.ˈtɾa.dɐ,da,dɐ,2,3,metathesis,CV,CV,estrada,road,Baptista2019[271-277],
Cape Verdean Sao Vicente,ɾeis,CVgC,ʀɐˈiʃ,ɾe.is,ʀɐ.ˈiʃ,ɾe,ʀɐ,1,1,,CV,CV,raiz,root,Baptista2019[271-277],
Cape Verdean Sao Vicente,ɾeis,CVgC,ʀɐˈiʃ,ɾe.is,ʀɐ.ˈiʃ,is,ˈiʃ,2,2,,VC,VC,raiz,root,Baptista2019[271-277],
Cape Verdean Sao Vicente,kɔɾda,CVCCV,ˈkɔɾdɐ,kɔɾ.da,ˈkɔɾ.dɐ,kɔɾ,ˈkɔɾ,1,1,,CVC,CVC,corda,rope,Baptista2019[271-277],
Cape Verdean Sao Vicente,kɔɾda,CVCCV,ˈkɔɾdɐ,kɔɾ.da,ˈkɔɾ.dɐ,da,dɐ,2,2,,CV,CV,corda,rope,Baptista2019[271-277],
